idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2046,307,2023-03-31,di,2023-01-06 10:10:40,gabriel.g,2023-01-06 10:10:40,gabriel.g
2046,308,2023-10-15,di,2023-01-06 10:11:01,gabriel.g,2023-01-06 10:11:01,gabriel.g
2046,309,2023-10-31,di,2023-01-06 10:11:20,gabriel.g,2023-01-06 10:11:20,gabriel.g
2046,310,2023-03-31,di,2023-01-06 10:11:51,gabriel.g,2023-01-06 10:11:51,gabriel.g
2046,311,2023-09-15,di,2023-01-06 10:12:30,gabriel.g,2023-01-06 10:12:30,gabriel.g
2046,312,2023-09-30,di,2023-01-06 10:12:45,gabriel.g,2023-01-06 10:12:45,gabriel.g
2046,313,2023-03-01,di,2023-01-06 10:13:27,gabriel.g,2023-01-06 10:13:27,gabriel.g
2046,313,2023-03-15,di,2023-02-02 10:19:21,gabriel.g,2023-02-02 10:19:21,gabriel.g
2046,314,2023-09-15,di,2023-01-06 10:13:52,gabriel.g,2023-01-06 10:13:52,gabriel.g
2046,315,2023-09-30,di,2023-01-06 10:14:06,gabriel.g,2023-01-06 10:14:06,gabriel.g
2046,320,2023-12-31,di,2023-01-06 10:16:12,gabriel.g,2023-01-06 10:16:12,gabriel.g
2047,342,2023-04-25,di,2023-03-13 15:08:01,gabriel.g,2023-03-13 15:08:01,gabriel.g
2047,343,2023-05-25,di,2023-03-13 15:08:58,gabriel.g,2023-03-13 15:08:58,gabriel.g
2047,344,2023-05-31,di,2023-03-13 15:10:19,gabriel.g,2023-03-13 15:10:19,gabriel.g
2047,345,2023-05-31,di,2023-03-13 15:13:13,gabriel.g,2023-03-13 15:13:13,gabriel.g
2047,346,2023-07-20,di,2023-03-13 15:14:16,gabriel.g,2023-03-13 15:14:16,gabriel.g
2047,347,2023-07-31,di,2023-03-13 15:14:58,gabriel.g,2023-03-13 15:14:58,gabriel.g
2047,348,2023-04-30,di,2023-03-13 15:17:31,gabriel.g,2023-03-13 15:17:31,gabriel.g
2047,349,2023-07-20,di,2023-03-13 15:18:10,gabriel.g,2023-03-13 15:18:10,gabriel.g
2047,349,2023-08-20,di,2023-03-13 16:10:09,gabriel.g,2023-03-13 16:10:09,gabriel.g
2047,350,2023-07-31,di,2023-03-13 15:18:45,gabriel.g,2023-03-13 15:18:45,gabriel.g
2047,350,2023-08-31,di,2023-03-13 16:10:22,gabriel.g,2023-03-13 16:10:22,gabriel.g
2047,351,2023-09-20,di,2023-03-13 15:23:35,gabriel.g,2023-03-13 15:23:35,gabriel.g
2047,352,2023-10-20,di,2023-03-13 15:27:07,gabriel.g,2023-03-13 15:27:07,gabriel.g
2047,353,2023-10-31,di,2023-03-13 15:27:46,gabriel.g,2023-03-13 15:27:46,gabriel.g
2047,354,2023-07-31,di,2023-03-13 15:30:35,gabriel.g,2023-03-13 15:30:35,gabriel.g
2047,355,2023-11-15,di,2023-03-13 15:31:14,gabriel.g,2023-03-13 15:31:14,gabriel.g
2047,356,2023-11-30,di,2023-03-13 15:31:45,gabriel.g,2023-03-13 15:31:45,gabriel.g
2047,357,2023-08-31,di,2023-03-13 15:39:13,gabriel.g,2023-03-13 15:39:13,gabriel.g
2047,358,2023-11-15,di,2023-03-13 15:39:58,gabriel.g,2023-03-13 15:39:58,gabriel.g
2047,359,2023-11-30,di,2023-03-13 15:40:24,gabriel.g,2023-03-13 15:40:24,gabriel.g
2047,360,2023-09-20,di,2023-03-13 15:48:14,gabriel.g,2023-03-13 15:48:14,gabriel.g
2047,361,2023-09-30,di,2023-03-13 15:49:31,gabriel.g,2023-03-13 15:49:31,gabriel.g
2047,362,2024-03-15,di,2023-03-13 15:51:50,gabriel.g,2023-03-13 15:51:50,gabriel.g
2048,323,2023-03-01,di,2023-02-24 12:04:59,gabriel.g,2023-02-24 12:04:59,gabriel.g
2048,324,2023-03-31,di,2023-02-24 12:06:12,gabriel.g,2023-02-24 12:06:12,gabriel.g
2048,325,2023-04-01,di,2023-02-24 12:06:49,gabriel.g,2023-02-24 12:06:49,gabriel.g
2048,326,2023-03-01,di,2023-02-24 12:10:07,gabriel.g,2023-02-24 12:10:07,gabriel.g
2048,327,2023-11-30,di,2023-02-24 12:11:30,gabriel.g,2023-02-24 12:11:30,gabriel.g
2048,328,2023-11-30,di,2023-02-24 12:12:12,gabriel.g,2023-02-24 12:12:12,gabriel.g
2048,329,2023-03-01,di,2023-02-24 12:18:26,gabriel.g,2023-02-24 12:18:26,gabriel.g
2048,330,2023-03-31,di,2023-02-24 12:19:24,gabriel.g,2023-02-24 12:19:24,gabriel.g
2048,331,2023-04-30,di,2023-02-24 12:20:13,gabriel.g,2023-02-24 12:20:13,gabriel.g
2048,332,2023-03-01,di,2023-02-24 12:23:38,gabriel.g,2023-02-24 12:23:38,gabriel.g
2048,333,2023-08-30,di,2023-02-24 12:24:59,gabriel.g,2023-02-24 12:24:59,gabriel.g
2048,334,2023-08-30,di,2023-02-24 12:25:41,gabriel.g,2023-02-24 12:25:41,gabriel.g
2048,335,2023-03-01,di,2023-02-24 12:27:49,gabriel.g,2023-02-24 12:27:49,gabriel.g
2048,336,2023-09-30,di,2023-02-24 12:28:39,gabriel.g,2023-02-24 12:28:39,gabriel.g
2048,337,2023-09-30,di,2023-02-24 12:29:30,gabriel.g,2023-02-24 12:29:30,gabriel.g
2048,338,2023-03-01,di,2023-02-24 14:51:14,gabriel.g,2023-02-24 14:51:14,gabriel.g
2048,339,2023-09-30,di,2023-02-24 12:32:28,gabriel.g,2023-02-24 12:32:28,gabriel.g
