id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
17201,17901612000158,13094,de 26 a 50%,450,330,40,10,10,30,30,Comério e Serviço,Não,Não há vendedor.,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Prédio é antigo, porém reformado\conservado, 2 salas de reuniões. No centro da cidade, na zona comercial",10,0,até 25%,de 26 a 50%,2023-04-05 04:28:11.155459
17202,00808377000171,11672,de 51 a 75%,479,196,57,0,43,184,0,Outros,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Possui auditório devidamente equipado, salas de reunião, condições da sede preservadas e mantidas.",0,62,de 76 a 100%,até 25%,2023-04-05 04:28:11.171025
17203,27795798000161,2803,de 26 a 50%,506,517,179,11,42,216,0,Indústria,Sim,de 4 a 6 vendedores,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"Prédio centenário, conservado, sala de reuniões, sala de treinamento e auditório.",11,120,até 25%,até 25%,2023-04-05 04:28:11.186558
17204,84301431000188,3530,de 26 a 50%,514,165,27,0,0,0,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Sede totalmente renovada, com salas de reuniões e auditório.",0,500,de 51 a 75%,de 26 a 50%,2023-04-05 04:28:11.202037
17205,75945535000134,2535,de 26 a 50%,535,473,99,166,20,433,153,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Sede inaugurada em 30/12/2016, com uma estrutura de 1.600m², com auditório para 200 pessoas, sala de reuniões para 40 pessoas, sala de reuniões p/20 pessoas, sala de treinamentos p/30 pessoas e outra para 70 pessoas. - Todas salas são equipadas com sistema de sonorização, projeção, wiffi e ar-condicionado. Estacionamento próprio p/70 veículos.",166,370,de 76 a 100%,até 25%,2023-04-05 04:28:11.216374
17206,78123619000180,2129,de 26 a 50%,555,535,65,0,0,0,0,Agronegócio,Sim,de 4 a 6 vendedores,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"prédio novo/conservado, bom espaço administrativo, salas de reuniões, auditório, espaço para eventos",0,385,de 51 a 75%,de 26 a 50%,2023-04-05 04:28:11.231163
17207,91681338000101,11282,de 51 a 75%,571,136,289,0,0,16,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Outros,Sede Própria,"A fachada da sede da entidade foi revitalizada recentemente, o prédio possui 4 pavimentos distribuídos em central de atendimento, cinco salas de cursos, um auditório, sala de reuniões, sala do presidente, sala da diretoria, copa e depósito.",0,1025,de 26 a 50%,Não informado,2023-04-05 04:28:11.250931
17208,10010312000130,3431,de 51 a 75%,586,765,120,4,35,107,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"novo, conservado, com salas de reuniões e auditório",4,194,de 51 a 75%,de 26 a 50%,2023-04-05 04:28:11.284252
17209,83312215000175,2081,de 26 a 50%,658,614,162,2,26,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"Espaço equipado e estruturado para reuniões, eventos.",2,945,de 26 a 50%,de 51 a 75%,2023-04-05 04:28:11.331986
17210,25651290000164,3071,de 51 a 75%,705,575,75,14,39,113,32,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Sede conservada, possui sala de reuniões com capacidade para até 50 pessoas, temos 3 auditórios e várias salas de treinamento.",14,521,de 26 a 50%,até 25%,2023-04-05 04:28:11.35745
