idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
proxpar,par.nudocencaminha,Nº do Documento de Encaminhamento,ana,nuenc,,,,
proxpar,par.nudocumento,Nº do Documento,ana,nudoc,,,,
proxpar,par.vlparcliberada,Valor da Parcela Liberada,ana,vlpar,,,Esgn_Formata::valor,
proxpar,pro.dtfim,Projeto - Data Fim,ana,pdtfim,,,Esgn_Formata::data,
proxpar,pro.dtini,Projeto - Data Início,ana,pdtini,,,Esgn_Formata::data,
proxpar,pro.flstatus,Projeto - Status,amb,status,,,Esgn_Arrays::stProjeto,"epp, cha, ufp, gpr"
proxpar,pro.nmprojeto,Projeto - Nome,ana,proj,,utf8_decode,,
proxpar,qtdp1,Parcela 1,sin,qtdp1,SUM(CASE WHEN par.idparcela = 1 AND par.dtliberacaorec IS NOT NULL THEN 1 ELSE 0 END) AS qtdp1,,,"epp, cha, ufp, gpr"
proxpar,qtdp2,Parcela 2,sin,qtdp2,SUM(CASE WHEN par.idparcela = 2 AND par.dtliberacaorec IS NOT NULL THEN 1 ELSE 0 END) AS qtdp2,,,"epp, cha, ufp, gpr"
proxpar,qtdp3,Parcela 3,sin,qtdp3,SUM(CASE WHEN par.idparcela = 3 AND par.dtliberacaorec IS NOT NULL THEN 1 ELSE 0 END) AS qtdp3,,,"epp, cha, ufp, gpr"
proxpar,qtdp4,Parcela 4,sin,qtdp4,SUM(CASE WHEN par.idparcela = 4 AND par.dtliberacaorec IS NOT NULL THEN 1 ELSE 0 END) AS qtdp4,,,"epp, cha, ufp, gpr"
proxpar,totalpro,Quantidade de Projetos,sin,qtdpro,COUNT(DISTINCT pro.idprojeto) AS totalproj,,,"epp, cha, ufp, gpr"
proxpar,usu.nmusuario,Projeto - Gestor,amb,nmgest,,utf8_decode,,gpr
