id,idprojeto,descricao,cc1,cc2,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,status
1,189,Estruturação - Sem despesa,61.140,A definir,2019-04-15 08:40:49,gabriel.lima,2019-04-15 08:40:49,gabriel.lima,
2,189,Gestão e monitoramento - Apoio administrativo,62.010,Pessoal,2019-04-15 08:40:49,gabriel.lima,2019-04-15 08:40:49,gabriel.lima,
3,189,Gestão e monitoramento - Consultoria,62.020,Pessoal,2019-04-15 08:40:49,gabriel.lima,2019-04-15 08:40:49,gabriel.lima,
4,189,Gestão e monitoramento - Estada,62.050,Viagens,2019-04-15 08:40:49,gabriel.lima,2019-04-15 08:40:49,gabriel.lima,
5,189,Gestão e monitoramento - Material de escritório,62.110,Infraestrutura,2019-04-15 08:40:49,gabriel.lima,2019-04-15 08:40:49,gabriel.lima,
6,189,Gestão e monitoramento - Passagens aéreas,62.120,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
7,189,Gestão e monitoramento - TIC,62.190,Infraestrutura,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
8,189,Gestão e monitoramento - Fretes e correio,62.060,Serviços,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
9,189,Gestão e monitoramento - Instalações,62.070,Infraestrutura,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
10,189,Mensuração - Serviços especializados,63.160,Serviços,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
11,189,Prêmio empreender - Consultoria,64.020,Pessoal,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
12,189,Avaliação - Sem despesa,64.140,Avaliação - Sem despesa,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
13,189,Chamada de projetos - Consultoria,65.020,Pessoal,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
14,189,Chamada de projetos - Estada,65.050,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
15,189,Chamada de projetos - Local e equipamentos,65.080,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
16,189,Chamada de projetos - Passagens aéreas,65.120,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
17,189,Chamada de projetos - Material de capacitação,65.100,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
18,189,Portal do Empreender - Serviços especializados,66.160,Serviços,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
19,189,Prêmio empreender - Estada,67.050,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
20,189,Prêmio empreender - Local e equipamentos,67.080,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
21,189,Prêmio empreender - Passagens aéreas,67.120,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
22,189,Prêmio empreender - Serviços gráficos,67.170,Serviços,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
23,189,Prêmio empreender - Prêmios,67.130,Outros,2019-04-15 08:40:50,gabriel.lima,2021-07-07 10:12:45,renato.rossi,S
24,189,Prêmio empreender - Material de capacitação,67.100,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
25,189,Prêmio empreender - Materiais diversos,67.090,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
26,189,Prêmio empreender - Serviços de cerimonial,67.150,Serviços,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
27,189,Desenvolvimento dos projetos - Consultoria,68.020,Pessoal,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
28,189,Desenvolvimento dos projetos - Deslocamento terrestre,68.040,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
29,189,Desenvolvimento dos projetos - Estada,68.050,Viagens,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
30,189,Desenvolvimento dos projetos - Local e equipamentos,68.080,Eventos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
31,189,Desenvolvimento dos projetos - Passagens aéreas,68.120,Viagens,2019-04-15 08:40:50,gabriel.lima,2020-12-15 14:06:18,renato.rossi,S
32,189,Desenvolvimento de projetos - Subsídio-BR-BrasíliaMulher empresária,6818.1001,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
33,189,Desenvolvimento de projetos - Subsídio-MT-RondonópolisSalões de beleza /cabeleireiros,6818.1002,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
34,189,"Desenvolvimento de projetos - Subsídio-BA-CamaçariBares, restaurantes e lanchonetes",6818.1007,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
35,189,Desenvolvimento de projetos - Subsídio-MG-João PinheiroFruticultura,6818.1024,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
36,189,"Desenvolvimento de projetos - Subsídio-MG-JuruaiaBares, restaurantes e lanchonetes",6818.1028,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
37,189,"Desenvolvimento de projetos - Subsídio-MG-PatrocínioBares, restaurantes e lanchonetes",6818.1036,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
38,189,Desenvolvimento de projetos - Subsídio-MG-PatrocínioInformática (serviços),6818.1037,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
39,189,Desenvolvimento de projetos - Subsídio-MG-UberlândiaMercados e mercearias e supermercados,6818.1052,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
40,189,"Desenvolvimento de projetos - Subsídio-MG-UberlândiaBares, restaurantes e lanchonetes",6818.1053,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
41,189,Desenvolvimento de projetos - Subsídio-SC-Jaraguá do Sul-Auto mecânicas,6818.1059,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
42,189,Desenvolvimento de projetos - Subsídio-SC-Jaraguá do Sul-Panificadoras e confeitarias,6818.1061,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
43,189,Desenvolvimento de projetos - Subsídio-SC-Canoinhas e Três Barras-Tecnologia e Inovação,6818.1065,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
44,189,Desenvolvimento de projetos - Subsídio-SC-Chapecó-Tecnologia e Inovação,6818.1066,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
45,189,Desenvolvimento de projetos - Subsídio-SC-Concórdia-Feirantes e pequenos produtores rurais,6818.1067,Apoio a projetos,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
