id,idempresa,origem
108353,56265,CEF
108354,56463,CEF
108355,56391,CEF
108356,56268,CEF
108357,56466,CEF
108358,56394,CEF
108359,56271,CEF
108360,4783,CEF
108361,56396,CEF
108362,56275,CEF
108363,56470,CEF
108364,56399,CEF
108365,56277,CEF
108366,36037,CEF
108367,56403,CEF
108368,56279,CEF
108369,56475,CEF
108370,56405,CEF
108371,56281,CEF
108372,56477,CEF
108373,56407,CEF
108374,56283,CEF
108375,56479,CEF
108376,56408,CEF
108377,56286,CEF
108378,56482,CEF
108379,56411,CEF
108380,56289,CEF
108381,56485,CEF
108382,56413,CEF
108383,56292,CEF
108384,56487,CEF
108385,56416,CEF
108386,56295,CEF
108387,56488,CEF
108388,56419,CEF
108389,56297,CEF
108390,56490,CEF
108391,56422,CEF
108392,56299,CEF
108393,56493,CEF
108394,56429,CEF
108395,56303,CEF
108396,56495,CEF
108397,40685,CEF
108398,56306,CEF
108399,56496,CEF
108400,56435,CEF
108401,56306,CEF
108402,56499,CEF
108403,56439,CEF
108404,56310,CEF
108405,56502,CEF
108406,56441,CEF
108407,56312,CEF
108408,56504,CEF
108409,56442,CEF
108410,56314,CEF
108411,56504,CEF
108412,56444,CEF
108413,56318,CEF
108414,56506,CEF
108415,56446,CEF
108416,56320,CEF
108417,56510,CEF
108418,56448,CEF
108419,56322,CEF
108420,56517,CEF
108421,56451,CEF
108422,56327,CEF
108423,56520,CEF
108424,56453,CEF
108425,56329,CEF
108426,56455,CEF
108427,56523,CEF
108428,56332,CEF
108429,56456,CEF
108430,56525,CEF
108431,56334,CEF
108432,56458,CEF
108433,56529,CEF
108434,56334,CEF
108435,56461,CEF
108436,56531,CEF
108437,56337,CEF
108438,56465,CEF
108439,56533,CEF
108440,56339,CEF
108441,56468,CEF
108442,56536,CEF
108443,56342,CEF
108444,56469,CEF
108445,56540,CEF
108446,56342,CEF
108447,56473,CEF
108448,56543,CEF
108449,56345,CEF
108450,56476,CEF
108451,56544,CEF
108452,56345,CEF
108453,56478,CEF
108454,50513,CEF
108455,56350,CEF
108456,56480,CEF
108457,56551,CEF
108458,56352,CEF
108459,56481,CEF
108460,56554,CEF
108461,56354,CEF
108462,56484,CEF
108463,56557,CEF
108464,56356,CEF
108465,56486,CEF
108466,56559,CEF
108467,56359,CEF
108468,56489,CEF
108469,56561,CEF
108470,56362,CEF
108471,56491,CEF
108472,54167,CEF
108473,56365,CEF
108474,52359,CEF
108475,56564,CEF
108476,56368,CEF
108477,36023,CEF
108478,56567,CEF
108479,56370,CEF
108480,56497,CEF
108481,56570,CEF
108482,56371,CEF
108483,56500,CEF
108484,56570,CEF
108485,56373,CEF
108486,56503,CEF
108487,56573,CEF
108488,56377,CEF
108489,31890,CEF
108490,56575,CEF
108491,56379,CEF
108492,56507,CEF
108493,56577,CEF
108494,56382,CEF
108495,56509,CEF
108496,56580,CEF
108497,56384,CEF
108498,56512,CEF
108499,56583,CEF
108500,56387,CEF
108501,56515,CEF
108502,56584,CEF
108503,56388,CEF
108504,56518,CEF
108505,56587,CEF
108506,56389,CEF
108507,56519,CEF
108508,56590,CEF
108509,56393,CEF
