idrecurso,nmrecurso,descricao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,grupo,nome
108,rf_exclu,Permite excluir Resultados Finalísticos do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,RFs,Exclusão de RF
109,rf_expor,Permite exportar lista de Resultados Finalísticos do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Exportação de lista de RFs
110,rf_listar,Apresenta os resultados finalísticos de um projeto,2020-03-23 12:52:35,,2020-10-23 08:55:15,renato.rossi,Projetos,Listar RFs
111,tut_permi,Permite adicionar/remover manuais,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Manuais,Manutenção de manuais
112,usu_adici,Permite adicionar usuários,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Usuário,Adição de usuário
113,usu_consu,Permite consultar lista/detalhe dos usuários,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Usuário,Consulta lista e detalhes de usuários
114,usu_edita,Permite editar usuários,2020-03-23 12:52:35,,2022-07-08 15:58:57,renato.rossi,Usuários,Edição de usuário
115,transf_pgto,"Permite o usuário ter acesso a funcionalidade de transferências e pagamentos - apenas leitura - não permite ações, sem a possibilidade de realizar ações (há um direito específico para isto)",2020-06-04 10:21:55,,2021-08-18 11:30:02,renato.rossi,Lançamentos,Transferências e Pagamentos
116,dados_qualif,"Permite o acesso aos dados qualificados dos entes do portal
Regula o acesso a dados qualificados, como segue: a. Pessoas físicas: cpf, endereço pessoal, idade, data de nascimento, telefone celular, números de documentos b. Pessoas jurídicas: dados bancários c. Projetos: dados bancários",2020-06-13 18:45:40,,2022-02-04 15:46:38,renato.rossi,Dados,Dados Qualificados
117,usu_export,Permite exportar a lista de usuários,2020-06-13 18:45:43,,2021-04-19 11:51:32,renato.rossi,Usuário,Exporta lista de usuários
118,painel_pesq_pj_base,Permite acesso ao painel de pesquisa de projetos base.,2020-06-17 22:42:58,,2020-06-17 22:42:58,,Pesquisa,Pesquisa Projeto Base
119,pro_anexo,Permite listar os anexos do projeto,2020-06-29 17:57:42,,2020-06-29 17:57:42,,Projeto,Anexos do Projeto
120,pro_anexar,Permite anexar arquivos ao projeto,2020-06-29 17:57:42,,2020-06-29 17:57:42,,Projeto,Anexar arquivo no Projeto
121,transf_pgto_acao,Permite realizar ações na tela de transferências e pagamentos,2020-07-02 21:11:45,,2021-02-19 14:58:45,renato.rossi,Lançamentos,Transfêrencias e Pagamentos - ações
122,e_como,Permite a navegação com os direitos de outro usuário,2020-08-06 17:59:10,renato.rossi,2020-08-06 17:59:10,,Suporte,Entrar como
