idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
69,22202,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
70,21583,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
70,22201,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
71,14066,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
71,22212,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
72,14092,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
72,22211,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
73,20552,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
73,22213,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
74,21019,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
74,22203,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
75,21541,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
75,22180,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
76,21036,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
76,22198,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
77,21791,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
77,22225,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
78,21965,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
78,22199,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
79,14049,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
79,22182,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
80,14003,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
80,22200,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
81,14050,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
81,22183,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
82,14084,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
82,22208,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
83,20438,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
83,22204,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
84,20282,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
