id_pj_base,id_projeto,grupo,edicao,dimensao,indice
189,1081,MEG,T0,Pessoas,"61,67"
189,1082,MEG,T0,Pessoas,"79,78"
189,1087,MEG,T0,Pessoas,"56,67"
189,1089,MEG,T0,Pessoas,"72,5"
189,1091,MEG,T0,Pessoas,"63,57"
189,1092,MEG,T0,Pessoas,"64,29"
189,1096,MEG,T0,Pessoas,"65,31"
189,1098,MEG,T0,Pessoas,"56,25"
189,1101,MEG,T0,Pessoas,"67,5"
189,1112,MEG,T0,Pessoas,"80,83"
189,1113,MEG,T0,Pessoas,60
189,1118,MEG,T0,Pessoas,"65,62"
189,1125,MEG,T0,Pessoas,"81,07"
189,1129,MEG,T0,Pessoas,"66,25"
189,1133,MEG,T0,Pessoas,"69,55"
189,1136,MEG,T0,Pessoas,"52,86"
189,1137,MEG,T0,Pessoas,68
189,1138,MEG,T0,Pessoas,"66,82"
189,1150,MEG,T0,Pessoas,"75,62"
189,1151,MEG,T0,Pessoas,"78,33"
189,1155,MEG,T0,Pessoas,66
189,1158,MEG,T0,Pessoas,"87,5"
189,1161,MEG,T0,Pessoas,"57,14"
189,1162,MEG,T0,Pessoas,"63,89"
189,1166,MEG,T0,Pessoas,65
189,1170,MEG,T0,Pessoas,"57,08"
189,1172,MEG,T0,Pessoas,"71,67"
189,1173,MEG,T0,Pessoas,"73,18"
189,1176,MEG,T0,Pessoas,"96,25"
189,1178,MEG,T0,Pessoas,100
189,1179,MEG,T0,Pessoas,"97,14"
189,1182,MEG,T0,Pessoas,"71,25"
189,1183,MEG,T0,Pessoas,"70,45"
189,1184,MEG,T0,Pessoas,"59,17"
189,1192,MEG,T0,Pessoas,"76,56"
189,1193,MEG,T0,Pessoas,"91,19"
189,1194,MEG,T0,Pessoas,"52,5"
189,1206,MEG,T0,Pessoas,"67,69"
189,1218,MEG,T0,Pessoas,83
189,1219,MEG,T0,Pessoas,65
189,1228,MEG,T0,Pessoas,"65,83"
189,1235,MEG,T0,Pessoas,"64,5"
189,1237,MEG,T0,Pessoas,"72,92"
189,1240,MEG,T0,Pessoas,"79,55"
189,1241,MEG,T0,Pessoas,"78,5"
189,1242,MEG,T0,Pessoas,"72,35"
189,1001,MEG,T0,Processos,"83,33"
189,1002,MEG,T0,Processos,"81,82"
189,1007,MEG,T0,Processos,"78,12"
189,1036,MEG,T0,Processos,"74,31"
189,1037,MEG,T0,Processos,"66,67"
189,1052,MEG,T0,Processos,"63,1"
189,1059,MEG,T0,Processos,"91,67"
189,1061,MEG,T0,Processos,"81,48"
189,1062,MEG,T0,Processos,"80,55"
189,1065,MEG,T0,Processos,"77,38"
189,1066,MEG,T0,Processos,"87,5"
189,1067,MEG,T0,Processos,100
189,1070,MEG,T0,Processos,"88,89"
189,1075,MEG,T0,Processos,"75,69"
189,1080,MEG,T0,Processos,"66,67"
189,1081,MEG,T0,Processos,"86,11"
189,1082,MEG,T0,Processos,"85,51"
189,1087,MEG,T0,Processos,"69,45"
189,1089,MEG,T0,Processos,"72,92"
189,1091,MEG,T0,Processos,"78,57"
189,1092,MEG,T0,Processos,"82,14"
189,1096,MEG,T0,Processos,"75,52"
189,1098,MEG,T0,Processos,"63,19"
189,1101,MEG,T0,Processos,"84,03"
189,1112,MEG,T0,Processos,"97,22"
189,1113,MEG,T0,Processos,"76,39"
189,1118,MEG,T0,Processos,100
189,1125,MEG,T0,Processos,"85,71"
189,1129,MEG,T0,Processos,"68,75"
189,1133,MEG,T0,Processos,"77,27"
189,1136,MEG,T0,Processos,"61,9"
189,1137,MEG,T0,Processos,"76,11"
189,1138,MEG,T0,Processos,"67,42"
189,1150,MEG,T0,Processos,"69,79"
189,1151,MEG,T0,Processos,"86,11"
189,1155,MEG,T0,Processos,65
189,1158,MEG,T0,Processos,"80,55"
189,1161,MEG,T0,Processos,"78,57"
189,1162,MEG,T0,Processos,"66,67"
189,1166,MEG,T0,Processos,"64,17"
189,1170,MEG,T0,Processos,"61,81"
189,1172,MEG,T0,Processos,"73,15"
189,1173,MEG,T0,Processos,"82,58"
189,1176,MEG,T0,Processos,"95,83"
189,1178,MEG,T0,Processos,100
189,1179,MEG,T0,Processos,"96,43"
189,1182,MEG,T0,Processos,"63,89"
189,1183,MEG,T0,Processos,"71,21"
189,1184,MEG,T0,Processos,"72,92"
189,1192,MEG,T0,Processos,"72,92"
189,1193,MEG,T0,Processos,"95,83"
189,1194,MEG,T0,Processos,"58,33"
189,1206,MEG,T0,Processos,"70,51"
189,1218,MEG,T0,Processos,85
189,1219,MEG,T0,Processos,"91,67"
189,1228,MEG,T0,Processos,"69,44"
189,1235,MEG,T0,Processos,"68,33"
189,1237,MEG,T0,Processos,"77,78"
189,1240,MEG,T0,Processos,"84,85"
189,1241,MEG,T0,Processos,"86,67"
189,1001,MEG,T0,Resultados,"63,54"
189,1002,MEG,T0,Resultados,"83,81"
189,1007,MEG,T0,Resultados,"65,62"
189,1036,MEG,T0,Resultados,"64,06"
189,1037,MEG,T0,Resultados,"61,81"
189,1052,MEG,T0,Resultados,"58,93"
189,1059,MEG,T0,Resultados,"72,66"
189,1061,MEG,T0,Resultados,"72,92"
189,1062,MEG,T0,Resultados,"66,67"
189,1065,MEG,T0,Resultados,"55,36"
189,1066,MEG,T0,Resultados,"80,8"
189,1067,MEG,T0,Resultados,"36,25"
189,1070,MEG,T0,Resultados,"66,67"
189,1075,MEG,T0,Resultados,"69,79"
189,1080,MEG,T0,Resultados,"61,36"
189,1081,MEG,T0,Resultados,"64,06"
189,1082,MEG,T0,Resultados,"76,63"
189,1087,MEG,T0,Resultados,"57,29"
189,1089,MEG,T0,Resultados,"71,88"
189,1091,MEG,T0,Resultados,"66,37"
189,1092,MEG,T0,Resultados,"66,96"
189,1096,MEG,T0,Resultados,"62,5"
189,1098,MEG,T0,Resultados,"58,33"
189,1101,MEG,T0,Resultados,"68,75"
189,1112,MEG,T0,Resultados,"82,29"
189,1113,MEG,T0,Resultados,"59,38"
189,1118,MEG,T0,Resultados,"58,59"
189,1125,MEG,T0,Resultados,"75,45"
189,1129,MEG,T0,Resultados,"59,9"
189,1133,MEG,T0,Resultados,"60,8"
189,1136,MEG,T0,Resultados,"47,32"
189,1137,MEG,T0,Resultados,"57,08"
189,1138,MEG,T0,Resultados,"64,2"
189,1150,MEG,T0,Resultados,"69,53"
189,1151,MEG,T0,Resultados,"78,47"
189,1155,MEG,T0,Resultados,65
189,1158,MEG,T0,Resultados,"77,08"
189,1161,MEG,T0,Resultados,"57,14"
189,1162,MEG,T0,Resultados,"64,58"
189,1166,MEG,T0,Resultados,"56,88"
189,1170,MEG,T0,Resultados,"51,04"
189,1172,MEG,T0,Resultados,"66,67"
189,1173,MEG,T0,Resultados,"72,16"
189,1176,MEG,T0,Resultados,"97,4"
189,1178,MEG,T0,Resultados,"98,61"
189,1179,MEG,T0,Resultados,"99,7"
189,1182,MEG,T0,Resultados,"68,75"
189,1183,MEG,T0,Resultados,"62,5"
189,1184,MEG,T0,Resultados,"64,58"
189,1192,MEG,T0,Resultados,"66,8"
189,1193,MEG,T0,Resultados,"86,25"
189,1194,MEG,T0,Resultados,"53,41"
189,1206,MEG,T0,Resultados,"66,83"
189,1218,MEG,T0,Resultados,"76,25"
189,1219,MEG,T0,Resultados,"93,75"
189,1228,MEG,T0,Resultados,"61,98"
189,1235,MEG,T0,Resultados,"61,25"
189,1237,MEG,T0,Resultados,"69,79"
189,1240,MEG,T0,Resultados,"72,16"
189,1241,MEG,T0,Resultados,"73,12"
