idcidade,idbairro,nmbairro,flincluido
749,524,BAIXA DO BONFIM, 
749,525,BARRO PRETO, 
749,528,CAIXA D AGUA, 
749,529,CAMPO DO AMERICA, 
749,530,CANSANCAO, 
749,531,CENTRO, 
749,532,CHACARA ALVORADA, 
749,533,CHACARA BORDA DA MATA, 
749,535,CIDADE NOVA, 
749,536,CURRAL NOVO, 
749,547,JEQUIEZINHO, 
749,548,JOAQUIM ROMAO, 
749,550,KM-3, 
749,551,KM-4, 
749,552,MANDACARU, 
749,553,PARQUE DA COLINA, 
749,557,SAO JOSE, 
749,559,SAO LUIS, 
759,568,ALTO DA ALIANCA, 
759,569,ALTO DA MARAVILHA, 
759,570,ALTO DO ALENCAR, 
759,571,ALTO DO CRUZEIRO, 
759,572,ARGEMIRO, 
759,573,CAJUEIRO, 
759,574,CASTELO BRANCO, 
759,575,CENTENARIO, 
759,576,CENTRO, 
759,577,COREIA, 
759,578,COUNTRY CLUB, 
759,579,DOM JOSE RODRIGUES, 
759,580,DOM TOMAZ, 
759,581,ITABERABA, 
759,582,JARDIM NOVO ENCONTRO, 
759,583,JARDIM SAO PAULO, 
759,584,JARDIM VITORIA, 
759,585,JOAO PAULO II, 
759,586,JOAO XXIII, 
759,587,JUAZEIRO VELHO, 
759,588,LOMANTO JUNIOR, 
759,589,MALHADA DA AREIA, 
759,590,MARINGA, 
759,591,MATATU, 
759,592,NOSSA SENHORA DA PENHA, 
759,593,PADRE VICENTE, 
759,594,PEDRA DO LORD, 
759,595,PIRANGA, 
759,596,PIRANGA II, 
759,597,QUIDE, 
759,599,SANTO ANTONIO, 
759,600,SAO GERALDO, 
759,601,TABULEIRO, 
759,602,TANCREDO NEVES, 
759,603,VILA TIRADENTES, 
909,604,ABEL BARBOSA, 
909,605,BNH, 
909,606,CAMINHO DOS LAGOS, 
909,607,CENTENARIO, 
909,608,CENTRO, 
909,609,CETENCO, 
909,610,GENERAL DUTRA, 
909,611,CLERISTON ANDRADE, 
909,613,JARDIM BAHIA, 
909,614,OLIVEIRA LOPES, 
909,615,PANORAMA, 
909,616,PERPETUO SOCORRO, 
909,617,TANCREDO NEVES I, 
909,618,TANCREDO NEVES II, 
909,619,TANCREDO NEVES III, 
909,620,VILA NOBRE, 
909,621,VILA POTY, 
909,622,VILA SAO FRANCISCO, 
988,623,ACUPE, 
988,625,AGUA DE MENINOS, 
988,626,AGUAS CLARAS, 
988,628,ALTO DO COQUEIRINHO, 
988,629,ALTO DO PERU, 
988,630,AMARALINA, 
988,632,ARENOSO, 
988,633,ARMACAO, 
988,634,ARRAIAL DO RETIRO, 
988,638,BAIXA DOS SAPATEIROS, 
988,639,BARBALHO, 
988,640,BARRA, 
988,642,BARRAGEM DE IPITANGA, 
988,643,BARREIRAS, 
988,644,BARRIS, 
988,645,BARROQUINHA, 
988,647,BOA VIAGEM, 
988,648,BOA VISTA DE BROTAS, 
988,650,BOCA DO RIO, 
988,653,BONFIM, 
988,655,BROTAS, 
988,656,CABULA, 
988,657,CABULA VI, 
988,658,CAIXA D AGUA, 
988,659,CAJAZEIRAS, 
988,661,CALABETAO, 
988,662,CALCADA, 
988,663,CAMINHO DAS ARVORES, 
988,664,CAMINHO DE AREIA, 
988,666,CAMPINAS DE BROTAS, 
988,667,CAMPINAS DE PIRAJA, 
988,668,CAMPO GRANDE, 
988,670,CANABRAVA, 
988,671,CANDEAL, 
988,672,CANELA, 
988,673,CAPELINHA, 
988,674,CASSANGE, 
988,675,CASTELO BRANCO, 
988,676,CASTRO NEVES, 
988,677,CEASA, 
988,679,CENTRO, 
988,680,CENTRO ADMINISTRATIVO DA BAHIA, 
988,681,CHAME-CHAME, 
988,682,CIDADE NOVA, 
988,683,COMERCIO, 
988,684,COSME DE FARIAS, 
988,685,COSTA AZUL, 
988,686,COUTOS, 
988,687,CURUZU, 
988,688,DOIS DE JULHO, 
988,690,DOM AVELAR, 
988,691,ENGENHO VELHO DE BROTAS, 
988,692,ENGENHO VELHO DA FEDERACAO, 
988,693,ENGOMADEIRA, 
988,694,ESCADA, 
988,696,FAZENDA COUTOS I, 
988,697,FAZENDA COUTOS II, 
988,698,FAZENDA GRANDE DO RETIRO, 
