idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
546,2010-01-01,in,2022-07-11 09:05:37,Mluiza,2022-07-11 09:05:37,Mluiza
546,2012-07-01,fn,2022-07-11 09:05:37,Mluiza,2022-07-11 09:05:37,Mluiza
547,2010-01-01,in,2022-06-29 10:53:18,Mluiza,2022-06-29 10:53:18,Mluiza
547,2012-07-01,fn,2022-06-29 10:53:18,Mluiza,2022-06-29 10:53:18,Mluiza
548,2010-01-01,in,2022-06-29 10:52:00,Mluiza,2022-06-29 10:52:00,Mluiza
548,2012-07-01,fn,2022-06-29 10:52:00,Mluiza,2022-06-29 10:52:00,Mluiza
549,2010-01-01,in,2022-06-29 10:51:10,Mluiza,2022-06-29 10:51:10,Mluiza
549,2012-07-01,fn,2022-06-29 10:51:10,Mluiza,2022-06-29 10:51:10,Mluiza
550,2010-01-01,in,2022-06-29 10:49:14,Mluiza,2022-06-29 10:49:14,Mluiza
550,2012-07-01,fn,2022-06-29 10:49:14,Mluiza,2022-06-29 10:49:14,Mluiza
551,2010-01-01,in,2022-06-29 10:43:14,Mluiza,2022-06-29 10:43:14,Mluiza
551,2012-07-01,fn,2022-06-29 10:43:14,Mluiza,2022-06-29 10:43:14,Mluiza
552,2010-01-01,in,2022-06-29 10:42:09,Mluiza,2022-06-29 10:42:09,Mluiza
552,2012-07-01,fn,2022-06-29 10:42:09,Mluiza,2022-06-29 10:42:09,Mluiza
553,2010-01-01,in,2022-06-29 10:02:37,Mluiza,2022-06-29 10:02:37,Mluiza
553,2012-07-01,fn,2022-06-29 10:02:37,Mluiza,2022-06-29 10:02:37,Mluiza
554,2010-01-01,in,2022-06-29 09:44:11,Mluiza,2022-06-29 09:44:11,Mluiza
554,2012-07-01,fn,2022-06-29 09:44:12,Mluiza,2022-06-29 09:44:12,Mluiza
555,2010-01-01,in,2022-06-29 10:54:39,Mluiza,2022-06-29 10:54:39,Mluiza
555,2012-07-01,fn,2022-06-29 10:54:39,Mluiza,2022-06-29 10:54:39,Mluiza
556,2010-01-01,in,2022-06-29 09:38:42,Mluiza,2022-06-29 09:38:42,Mluiza
556,2012-07-01,fn,2022-06-29 09:38:42,Mluiza,2022-06-29 09:38:42,Mluiza
557,2010-01-01,in,2022-06-28 14:30:29,Mluiza,2022-06-28 14:30:29,Mluiza
557,2012-07-01,fn,2022-06-28 14:30:29,Mluiza,2022-06-28 14:30:29,Mluiza
558,2010-01-01,in,2022-06-28 14:28:34,Mluiza,2022-06-28 14:28:34,Mluiza
558,2012-07-01,fn,2022-06-28 14:28:34,Mluiza,2022-06-28 14:28:34,Mluiza
559,2010-01-01,in,2022-06-28 14:19:21,Mluiza,2022-06-28 14:19:21,Mluiza
559,2012-07-01,fn,2022-06-28 14:19:21,Mluiza,2022-06-28 14:19:21,Mluiza
560,2010-01-01,in,2022-06-28 14:17:24,Mluiza,2022-06-28 14:17:24,Mluiza
560,2012-07-01,fn,2022-06-28 14:17:24,Mluiza,2022-06-28 14:17:24,Mluiza
561,2010-01-01,in,2022-06-28 14:13:32,Mluiza,2022-06-28 14:13:32,Mluiza
561,2012-07-01,fn,2022-06-28 14:13:32,Mluiza,2022-06-28 14:13:32,Mluiza
562,2010-01-01,in,2022-06-28 14:12:25,Mluiza,2022-06-28 14:12:25,Mluiza
562,2012-07-01,fn,2022-06-28 14:12:25,Mluiza,2022-06-28 14:12:25,Mluiza
563,2010-01-01,in,2022-07-11 10:26:40,Mluiza,2022-07-11 10:26:40,Mluiza
563,2012-07-01,fn,2022-07-11 10:26:40,Mluiza,2022-07-11 10:26:40,Mluiza
564,2010-01-01,in,2022-07-11 10:15:14,Mluiza,2022-07-11 10:15:14,Mluiza
564,2012-07-01,fn,2022-07-11 10:15:14,Mluiza,2022-07-11 10:15:14,Mluiza
565,2010-01-01,in,2022-07-11 10:08:41,Mluiza,2022-07-11 10:08:41,Mluiza
565,2012-07-01,fn,2022-07-11 10:08:41,Mluiza,2022-07-11 10:08:41,Mluiza
566,2010-01-01,in,2022-07-11 10:07:05,Mluiza,2022-07-11 10:07:05,Mluiza
566,2012-07-01,fn,2022-07-11 10:07:05,Mluiza,2022-07-11 10:07:05,Mluiza
567,2010-01-01,in,2022-07-11 09:15:47,Mluiza,2022-07-11 09:15:47,Mluiza
567,2012-07-01,fn,2022-07-11 09:15:47,Mluiza,2022-07-11 09:15:47,Mluiza
568,2010-01-01,in,2022-07-11 10:03:51,Mluiza,2022-07-11 10:03:51,Mluiza
568,2012-07-01,fn,2022-07-11 10:03:51,Mluiza,2022-07-11 10:03:51,Mluiza
569,2010-01-01,in,2022-07-21 08:54:47,Mluiza,2022-07-21 08:54:47,Mluiza
569,2012-07-01,fn,2022-07-21 08:54:47,Mluiza,2022-07-21 08:54:47,Mluiza
