identidadeprop,idtipoentidade,identidade,nmchamada,nmconvenio,idbanco,dsagencia,dsconta,nmentidade,nuoperacao,idcidade,flativo,sigla,conta_tipo,pix_tipo,pix_chave,idprojeto
1,ass,11763,2013/01,112,1  ,1523-7,24169-5,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE ALAGOAS - FEDERALAGOAS,,109,S,FEDERALAGOAS13,Corrente,,,
2,ass,1946,2013/01,118,1  ,704,21877,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE PONTALINA",,2286,S,ACIAP,Corrente,,,
3,ass,11786,2013/01,114,104,84,3542-7,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,0,2754,S,FEDERAMINAS 13,Corrente,,,
4,ass,11789,2013/01,116,1  ,1622-5,19.001-X,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP 2013,Corrente,,,
5,ass,11787,2013/01,113,1  ,22-1,230.268-3,Federação das Associações Comerciais do Rio Grande do Norte  - FACERN,,7221,S,FACERN 2013,Corrente,,,
6,ass,11612,2013/01,110,1  ,2871-1,65000-5,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA 2013,Corrente,,,
7,ass,3494,2013/01,111,1  ,4863,37054-1,"CÂMARA INDÚSTRIA, COMÉRCIO E SERVIÇO DE FARROUPILHA",0,7710,S,CICS-FAR ANTIGA,Corrente,,,
8,ass,11794,2013/01,117,1  ,4236-6,3300-6,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC 2013,Corrente,,,
9,ass,11779,2013/01,115,1  ,3344-8,956387-3,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP 2013,Corrente,,,
12,ass,11770,2015/01,144/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO ESTADO DO MATO GROSSO - FACMAT,,4347,S,FACMAT,Corrente,,,
13,ass,11774,2015/01,147/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DA BAHIA - FACEB,,988,S,FACEB,Corrente,,,
14,ass,11776,2015/01,146/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE PERNAMBUCO - FACEP,,5406,S,FACEP 2015,Corrente,,,
15,ass,11786,2015/01,143/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS 15,Corrente,,,
16,ass,11790,2015/01,145/2015,1  ,2912-2,14382-0,Associação das Empresas de Pequeno Porte da Região Nordeste do RS,,7566,S,MICROEMPA 2015,Corrente,,,
17,ass,10943,2017/01,049/2021,104,2458,30264-4,ASSOCIAÇÃO COMERCIAL DO DISTRITO FEDERAL - ACDF,Operação 003,1778,S,ACDF,Corrente,,,2005
18,ass,11788,2015/01,055,1  ,000,0000,FEDERAÇÃO DE ENTIDADES EMPRESARIAIS DO RIO GRANDE DO SUL - FEDERASUL,0000,7994,S,FEDERASUL,Corrente,,,
19,ass,11739,2018/01,1,1  ,1,1,CACB - ACE,,1778,S,CACB - ACE,Corrente,,,2022
20,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1017
21,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,171
22,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1129
23,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1064
24,ass,3071,2017/01,xx,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE UBERLÂNDIA,,4048,S,ACIUB,Corrente,,,
25,ass,11612,2017/01,26,1  ,.,.,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA,Corrente,,,1235
26,ass,11165,2017/01,26,1  ,xx,xx,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E EMPRESARIAL DE RONDONÓPOLIS",,4462,S,ACIR,Corrente,,,1002
27,ass,2989,2017/01,xx,1  ,xxxx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE JURUAIA,,3319,S,ACIJU,Corrente,,,
28,ass,2685,2017/01,xx,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL DE PAULO AFONSO,,909,S,ASCOPA,Corrente,,,1200
29,ass,11763,2017/01,026,1  ,xx,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE ALAGOAS - FEDERALAGOAS,,109,S,FEDERALAGOAS,Corrente,,,
30,ass,2039,2017/01,26,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMAÇARI,,473,S,ACEC,Corrente,,,1007
31,ass,3519,2017/01, ,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE FEIRA DE SANTANA,,582,S,ACEFS,Corrente,,,
32,ass,3534,2017/26, ,1  ,xxxx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE SANTO ANTONIO DE JESUS,,1006,S,ACESAJ,Corrente,,,
33,ass,2584,2017/01, ,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE TANGARÁ DA SERRA,,4498,S,ACITS,Corrente,,,
34,ass,3343,2017/01, ,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ARCOVERDE,,5154,S,ACA,Corrente,,,
35,ass,3431,2017/01, ,1  ,xxxx,xx,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE CARUARU,,5216,S,ACIC,Corrente,,,
36,ass,11776,2017/01, ,1  ,xxxx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE PERNAMBUCO - FACEP,,5406,S,FACEP,Corrente,,,
37,ass,11787,2017/01,26,1  ,xx,xx,Federação das Associações Comerciais do Rio Grande do Norte  - FACERN,,7221,S,FACERN,Corrente,,,1206
38,ass,3497,2017/01, ,1  ,xx,xx,"CÂMARA INDÚSTRIA, COMÉRCIO E SERVIÇO DE CANOAS",,7533,S,CICS,Corrente,,,
39,ass,3494,2017/01, ,1  ,xx,xx,"CÂMARA INDÚSTRIA, COMÉRCIO E SERVIÇO DE FARROUPILHA",,7710,S,CICS-FAR,Corrente,,,
40,ass,11290,2017/01, ,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE SANTA CRUZ DO SUL,,8079,S,ACI-SANTACRUZ,Corrente,,,
41,ass,2198,2017/01,26,1  ,xx,xx,ASSOCIAÇÃO EMPRESARIAL DE JARAGUÁ DO SUL,,8518,S,ACIJS,Corrente,,,1059
42,ass,11739,2000/01,1,1  ,xx,xx,CACB - ACE,,1778,S,CACB - ACE II,Corrente,,,
43,ass,11739,2017/01,26,2  ,xx,xx,CACB - ACE,,1778,S,CACB - CEME,Corrente,,,1001
44,ass,3021,2017/01,26,1  ,xx,xx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE NOVA LIMA,,3480,S,ACISNL,Corrente,,,1223
45,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,189
46,ass,2604,2017/99,AL,1  ,x,x,"ASSOCIAÇÃO COMERCIAL E INDUSTRIAL, SERVIÇOS E AGROPECUÁRIA DE ARAPIRACA",,24,S,ACE - Arapiraca,Corrente,,,
47,ass,10914,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL DE PALMEIRA DOS INDIOS,,135,S,ACE - Palimeira,Corrente,,,
48,ass,2886,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROP. DE ALÉM PARAÍBA",,2649,S,ACE-A.Paraíba,Corrente,,,
49,ass,2046,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPO BELO,,2854,S,ACE-C.Belo,Corrente,,,
50,ass,11058,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE CARMÓPOLIS DE MINAS,,2899,S,ASCINCAR,Corrente,,,
51,ass,2951,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE SERVIÇOS E AGRONEGOCIOS DE FORMIGA",,3128,S,ACE-FORMIGA,Corrente,,,
52,ass,11686,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE FORTALEZA DE MINAS,,3130,S,ACE-Fort.Minas,Corrente,,,
53,ass,2972,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ITUIUTABA,,3275,S,ACE-ITUIUTABA,Corrente,,,
54,ass,3015,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE MUZAMBINHO,,3462,S,ACE-MUZAMBINHO,Corrente,,,
55,ass,3223,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL,EMPRESARIAL DE OURO PRETO",,3507,S,ACE-OURO PRETO,Corrente,,,
56,ass,11101,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE PATROCINIO,,3551,S,ACE-PATROCÍNIO,Corrente,,,
57,ass,11112,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGROPECUÁRIA E PRESTAÇÃO DE SERVIÇOS DE SANTA BARBARA",,3731,S,ACE-S.BARBARA,Corrente,,,
58,ass,3523,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE SÃO JOÃO DEL REI,,3857,S,ACIDELREI,Corrente,,,
59,ass,11128,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGROPECUÁRIA E DE SERVIÇOS DE SÃO SEBASTIÃO DO PARAÍSO",,3924,S,ACE-SJ.PARAISO,Corrente,,,
60,ass,1970,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE  COLIDER,,4335,S,ACE-COLIDER,Corrente,,,
61,ass,3023,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE NOVA MUTUM,,4416,S,ACE-N.MUTUM,Corrente,,,
62,ass,2792,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SINOP,,4421,S,ACE-SINOP,Corrente,,,
63,ass,11527,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE GRAVATÁ,,5264,S,ACE-GRAVATA,Corrente,,,
64,ass,11530,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE LIMOEIRO,,5331,S,ACE-LIMOEIRO,Corrente,,,
65,ass,11536,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE RIBEIRÃO,,5411,S,ACE-RIBEIRAO,Corrente,,,
66,ass,11551,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE VITÓRIA DE SANTO ANTÃO",,5503,S,ACE-VS.ANTAO,Corrente,,,
67,ass,2535,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE MARECHAL CÂNDIDO RONDON",,6297,S,ACIMACAR,Corrente,,,
68,ass,3001,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE MARINGÁ,,6308,S,ACIM,Corrente,,,
69,ass,2245,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE MATELÂNDIA,,6320,S,ACE-MATELANDIA,Corrente,,,
70,ass,2249,2017/99,xx,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE MEDIANEIRA,,6326,S,ACIME,Corrente,,,
71,ass,3494,2017/99,xx,1  ,x,x,"CÂMARA INDÚSTRIA, COMÉRCIO E SERVIÇO DE FARROUPILHA",,7710,N,ACE-FARROUPILHA,Corrente,,,
72,ass,2791,2017/99,xx,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE SERVIÇO E AGROPECUÁRIA DE PASSO FUNDO",,7953,S,ACE-PASSO FUNDO,Corrente,,,
73,ass,2686,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL DE PELOTAS,,7965,S,ACE-PELOTAS,Corrente,,,
74,ass,11731,2017/99,xx,1  ,x,x,Sindicato dos Trabalhadores Rurais de Pinheiro Machado,,7977,S,ACE-STR.PINHEIR,Corrente,,,
75,ass,2573,2017/99,xx,1  ,x,x,CENTRO EMPRESARIAL DE SANTIAGO,,8102,S,ACE-SANTIAGO,Corrente,,,
76,ass,3489,2017/99,xx,1  ,x,x,"CÂMARA INDÚSTRIA, COMÉRCIO, AGRIC. E SERVIÇO DE VACARIA",,8280,S,ACE-VACARIA,Corrente,,,
77,ass,2203,2017/99,xx,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE JOINVILLE,,8521,S,ACE-JOINVILLE,Corrente,,,
78,ass,3034,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE PINHALZINHO,,8609,S,ACE-PINHALZINHO,Corrente,,,
79,ass,3043,2017/99,xx,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE QUILOMBO,,8634,S,ACIQ,Corrente,,,
80,ass,1790,2017/99,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE SÃO MIGUEL DO OESTE,,8708,S,ACISMO,Corrente,,,1089
81,ass,11623,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL EMPRESARIAL MIGUELENSE,,170,S,ACE-SM.CAMPOS,Corrente,,,
82,ass,3524,2017/99,xx,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE SÃO LOURENÇO DO OESTE,,8705,S,ACISLO,Corrente,,,
83,ass,2296,2017/99,xx,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE OSÓRIO,,7925,S,ACE - Osório,Corrente,,,
84,ass,11793,,,1  ,,,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,N,rcacb,Corrente,,,
85,ass,11793,,,1  ,,,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,N,contr,Corrente,,,
86,ass,11740,2017/01,054,1  ,x,x,Serviço Brasileiro de Apoio às Micro e Pequenas Empresas,,1778,S,SEBRAE,Corrente,,,189
87,ass,11793,2017/01,054,1  ,x,x,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,EC2017 - AF,Corrente,,,189
88,ass,11793,2019/01,X,1  ,x,x,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,EC2017 - Apoio,Corrente,,,189
89,ass,11793,2017/02,54,1  ,x,x,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,EC2017 - AFF,Corrente,,,189
90,ass,11791,2017/01,014/2019,1  ,3599-8,23609-8,Conselho Nacional do Jovens Empresários - CONAJE,,1778,S,CONAJE,Corrente,,,2003
91,ass,2054,2017/01,26,1  ,0,00,ASSOCIAÇÃO EMPRESARIAL DE CANOINHAS,,8407,S,ACIC Canoinhas,Corrente,,,
92,ass,2081,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CHAPECÓ,,8419,S,ACIC Chapecó,Corrente,,,
93,ass,3404,2017/01,26,1  ,0,00,ASSOCIAÇÃO EMPRESARIAL DE CONCÓRDIA,,8424,S,ACIC Concórdia,Corrente,,,
94,ass,11316,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IPORÃ DO OESTE,,8495,S,ACIIO,Corrente,,,
95,ass,2208,2017/01,26,1  ,0,00,ASSOCIAÇÃO EMPRESARIAL DE LAGES,,8525,S,ACIL,Corrente,,,
96,ass,2388,2017/01,26,1  ,0,00,ASSOCIAÇÃO EMPRESARIAL DE RIO DO SUL,,8650,S,ACIRS,Corrente,,,
97,ass,2027,2017/01,26,756,3069,001918940,ASSOCIAÇÃO  EMPRESARIAL DE BRUSQUE,,8390,S,ACIBr,Corrente,,,
98,ass,1806,2017/01,26,1  ,0,00,ASSOCIAÇÃO EMPRESARIAL E CULTURAL CAMPO NOVENSE,,8403,S,ACIRCAN,Corrente,,,
99,ass,3528,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FLORIANOPOLIS,,8452,S,ACIF,Corrente,,,
100,ass,2899,2017/01,26,1  ,0,00,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE ASSIS CHATEAUBRIAND",,5797,S,ACIAC,Corrente,,,
101,ass,2957,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE GUARAPUAVA,,6131,S,ACIG,Corrente,,,
102,ass,2221,2017/01,26,748,0718,959960,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE LONDRINA,,6268,S,ACIL Londrina,Corrente,,,
103,ass,2369,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE QUEDAS DO IGUAÇU,,6504,S,ACIQ Quedas,Corrente,,,
104,ass,2486,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE TOLEDO,,6770,S,ACIT,Corrente,,,
105,ass,3359,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL DE BARRA BONITA E IGARAÇU DO TIETE,,8949,S,ACEBIG,Corrente,,,
106,ass,11352,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FRANCA,,9144,S,ACIF Franca,Corrente,,,
107,ass,11377,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE JOSÉ BONIFÁCIO,,9291,S,ACEJB,Corrente,,,
108,ass,3412,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE MARÍLIA,,9348,S,ACIM Marilia,Corrente,,,
109,ass,11386,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL DE MOGI DAS CRUZES,,9369,S,ACMC,Corrente,,,
110,ass,2363,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE PRESIDENTE PRUDENTE,,9532,S,ACIPP,Corrente,,,
111,ass,2416,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE SANTO ANDRÉ,,9625,S,ACISA,Corrente,,,
112,ass,2391,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SÃO JOSÉ DO RIO PRETO,,9659,S,ACIRPriopreto,Corrente,,,
113,ass,2465,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SOCORRO,,9693,S,ACE Socorro,Corrente,,,
114,ass,11712,2017/01,26,1  ,0,00,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE APODI,,7133,S,ACEMA,Corrente,,,
115,ass,11742,2017/01,26,1  ,0,00,Associação dos Jovens Empresários do Distrito Federal - AJEDF,,1778,S,AJEDF,Corrente,,,
116,ass,11792,2017/01,26,1  ,3599-8,430481-0,Confederação das Associações Comerciais e Empresariais do Brasil - CACB - AL,,1778,S,AL - CACB,Corrente,,,2004
117,fed,65,2017/01,XX,1  ,A,A,Entidade gernérica de uso temporário,,1778,S,OUTROS,Corrente,,,2004
118,ass,2379,2017/01,088/2020,1  ,6504-8,70723-6,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE RIBEIRÃO PRETO,,9560,S,ACIRP,Corrente,,,2012
119,ass,11795,2017/01,0558/2020,1  ,3599-8,21388-8,AGÊNCIA DE DESENVOLVIMENTO DE BETIM E REGIÃO - ADEBER,,2762,S,ADEBER,,,,2013
120,ass,2761,2017/01,26,1  ,xxxx,xxxx,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CANGUÇU,,7531,S,ACICAN,,,,2009
121,ass,2897,2017/01,26,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE TURISMO, SERVIÇOS E AGRONEGÓCIOS DE ARAXÁ",,2704,S,ACE - ax,,,,
122,ass,2067,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CASCAVEL,,5941,S,ACE - Cascavel,,,,
123,ass,2084,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE CHOPINZINHO,,5958,S,ACE - Chopi,,,,
124,ass,2129,2017/01,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE FRANCISCO BELTRÃO,,6094,S,ACE - FB,,,,
125,ass,3119,2017/01,26,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE IRATI",,6178,S,ACE - Irati,,,,
126,ass,2978,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE JACUTINGA,,3284,S,ACE - Jacutinga,,,,
127,ass,2260,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE MISSAL,,6335,S,ACE - Missal,,,,
128,ass,2213,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE LENÇOIS PAULISTA,,9316,S,ACE - Lençóis,,,,
129,ass,2787,2017/01,26,1  ,x,x,ASSOCIAÇÃO INDUSTRIAL E COMERCIAL DE ITATIBA,,9254,S,ACE - Itatiba,,,,
130,ass,2394,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ROLÂNDIA,,6554,S,ACE - Rolândia,,,,
131,ass,2228,2017/01,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE MAFRA,,8543,S,ACE - Mafra,,,,
132,ass,3123,2017/01,26,1  ,x,x,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ITUPORANGA,,8514,S,ACE-Ituporanga,,,,
133,ass,1891,2017/01,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE IBIRAMA,,8482,S,ace - Ibirama,,,,
134,ass,3208,2017/01,26,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROP. DE ITABIRA",,3234,S,ACE - itabira,,,,
135,ass,2825,2017/01,26,1  ,x,x,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROP. DE JOÃO PINHEIRO",,3305,S,ACE - JP,,,,
136,ass,11787,2017/01,26,1  ,xx,xx,Federação das Associações Comerciais do Rio Grande do Norte  - FACERN,,7221,S,FACERN,Corrente,,,2025
137,ass,11792,2017/01,26,1  ,3599-8,430481-0,Confederação das Associações Comerciais e Empresariais do Brasil - CACB - AL,,1778,S,AL - CACB,Corrente,,,2006
138,fed,65,2017/01,XX,1  ,A,A,Entidade gernérica de uso temporário,,1778,S,OUTROS,Corrente,,,2027
139,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1024
140,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1025
141,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1028
142,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1030
143,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1036
144,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1037
145,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1042
146,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1044
147,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1052
148,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1053
149,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1218
150,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1219
151,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,1228
152,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,2010
153,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,2011
