idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
592,11789,2022-06-28 11:28:29,Mluiza,2022-06-28 11:28:29,Mluiza,1
592,1805,2022-06-28 11:28:29,Mluiza,2022-06-28 11:28:29,Mluiza,4
591,11786,2022-06-28 11:30:39,Mluiza,2022-06-28 11:30:39,Mluiza,1
591,3071,2022-06-28 11:30:39,Mluiza,2022-06-28 11:30:39,Mluiza,4
590,11786,2022-06-28 11:31:53,Mluiza,2022-06-28 11:31:53,Mluiza,1
590,3071,2022-06-28 11:31:53,Mluiza,2022-06-28 11:31:53,Mluiza,4
589,11786,2022-06-28 11:33:09,Mluiza,2022-06-28 11:33:09,Mluiza,1
589,3071,2022-06-28 11:33:09,Mluiza,2022-06-28 11:33:09,Mluiza,4
588,11786,2022-06-28 13:27:11,Mluiza,2022-06-28 13:27:11,Mluiza,1
588,3071,2022-06-28 13:27:11,Mluiza,2022-06-28 13:27:11,Mluiza,4
587,11786,2022-06-28 13:28:10,Mluiza,2022-06-28 13:28:10,Mluiza,1
587,3071,2022-06-28 13:28:10,Mluiza,2022-06-28 13:28:10,Mluiza,4
586,11786,2022-06-28 13:29:26,Mluiza,2022-06-28 13:29:26,Mluiza,1
586,3071,2022-06-28 13:29:26,Mluiza,2022-06-28 13:29:26,Mluiza,4
585,11786,2022-06-28 13:30:44,Mluiza,2022-06-28 13:30:44,Mluiza,1
585,3071,2022-06-28 13:30:44,Mluiza,2022-06-28 13:30:44,Mluiza,4
583,11794,2022-06-28 13:33:28,Mluiza,2022-06-28 13:33:28,Mluiza,1
583,3473,2022-06-28 13:33:28,Mluiza,2022-06-28 13:33:28,Mluiza,4
582,11794,2022-06-28 13:39:24,Mluiza,2022-06-28 13:39:24,Mluiza,1
582,3473,2022-06-28 13:39:24,Mluiza,2022-06-28 13:39:24,Mluiza,4
581,11794,2022-06-28 13:47:48,Mluiza,2022-06-28 13:47:48,Mluiza,1
581,3473,2022-06-28 13:47:48,Mluiza,2022-06-28 13:47:48,Mluiza,4
575,11794,2022-06-28 13:54:32,Mluiza,2022-06-28 13:54:32,Mluiza,1
575,3524,2022-06-28 13:54:32,Mluiza,2022-06-28 13:54:32,Mluiza,4
570,11794,2022-06-28 14:04:44,Mluiza,2022-06-28 14:04:44,Mluiza,1
