idramoativ,nmramoativ
4543802,INSTALACOES SIST PREV CONTRA INCENDIO
4549700,OUTRAS OBRAS DE INSTALACOES
4549701,MONT INSTAL SIST EQ ILUM SINAL VIAS PUBL
4549702,INST EQUIP ORIENT NAVEG MARITIMA FLUVIAL
4549703,TRATAMENTOS ACUSTICO E TERMICO
4549704,INSTALACAO DE ANUNCIOS
4549705,SERVS REPRODUCAO DE FITAS E VIDEO
4549799,OUTRAS OBRAS INSTALACOES
4550001,OBRAS DE ALVENARIA E REBOCO
4550002,OBRAS DE ACABAMENTO GESSO E ESTUQUE
4550003,IMPERMEABILIZACAO OBRAS ENG CIVIL
4550004,SERVICOS PINTURA EDIFICACOES EM GERAL
4550005,INSTAL PORTAS TETOS DIV ARM EMB INC ESQ
4550006,SERV REVESTIMENTOS APLIC RESINAS INT EXT
4550007,SERV REVESTIMENTO APLIC PAPEL DE PAREDE
4550008,ENGENHARIA CIVIL
4550099,OUT OBRAS ACABAMENTO DA CONSTRUCAO
4551900,ALVENARIA E REBOCO
4551901,OBRAS ALVENARIA E REBOCO
4551902,OBRAS ACABAMENTO EM GESSO ESTUQUE
4552700,IMPERMEABIL SERVICOS PINTURA EM GERAL
4552701,IMPERMEABILIZACAO OBRAS ENGENHARIA CIVIL
4552702,SERVICOS PINTURA EDIFICACOES EM GERAL
4559400,OUTROS SERVICOS AUXILIARES DE CONSTRUCAO
4559401,INSTAL PORTAS JANELAS TETOS DIV ARMARIOS
4559402,SERV REVEST APLIC RESINAS INTERIORES EXT
4559403,SERVS TEC ESPECIALIZADOS AUX CONSTRUCAO
4559404,SERVS TEC ESPECIALIZADOS AUX ENG ARQUIT
4559499,OUTRAS OBRAS ACABAMENTO DA CONSTRUCAO
4560800,ALUGUEL MAQ EQUIP CONSTR DEMOL OPERARIOS
5010500,COMERCIO VAREJO ATACADO VEIC AUTOMOTORES
5010501,COM ATAC VEICULOS AUTOMOTORES
5010502,COM VAREJ AUTOM CAMIONETAS UTILITARIOS
5010503,COM VAREJISTA CAMINHOES NOVOS E USADOS
5010504,COM VAREJ REBOQUES SEMI REBOQUES NOVOS
5010505,COM VAREJ ONIBUS MICROONIBUS NOVOS
5010506,COM VAREJ VEICULOS AUTOMOTORES USADOS
5010507,INTERMEDIARIOS COM VEIC AUTOMOTORES
5010508,COMERCIO VAREJISTA DE ARTIGOS IMPORTADOS
5010509,SERVICOS LOCACAO ARRENDAMENTO VEICULOS
5010510,COM VAREJISTA DE VEICULOS AUTOMOTORES
5010511,COMERCIO VAREJISTA DE ROLAMENTOS E AFINS
5010512,COM VAREJ FOGOS ARTIFICIOS PIROTECNICOS
5020200,MANUT REPARACAO VEICULOS AUTOMOTORES
5020201,SERV MANUT REP AUTOMOVEIS
5020202,SERV MANUT REP CAMINHOES ONIBUS VEIC PES
5020203,SERVS DE LAVAGEM LUBRIFICACAO VEICULOS
5020204,SERVICOS BORRACHEIROS GOMARIA
5020205,SERVS.MANUT.REPAR.DE CAMINHOES E ONIBUS
5020206,SERV REBOQUE DE VEICULOS
5020207,COM ATACADISTA CAMINHOES NOVOS E USADOS
5030000,COM VAREJ ATAC PECAS ACES VEIC AUTOMOT
5030001,COM ATAC PECAS ACES VEIC AUTOMOTORES
5030002,COM ATAC PNEUMATICOS CAMARAS DE AR
5030003,COM VAREJ PECAS ACES VEIC AUTOMOTORES
5030004,COM VAREJ PNEUMATICOS CAMARAS DE AR
5030005,INTERMEDIARIO COM PECAS ACES VEIC AUTOM
5030006,COM VAREJ PEC ACESS USADOS VEIC AUTOMOT
5030007,COM VAREJ PECAS ACESSORIOS VEICULOS
5030008,COM MANUT RADIADORES PARA VEICULOS
5030009,COM ATACADISTA DE ROLAMENTOS E AFINS
5041500,COM VAREJ ATAC MOTOCICL PARTES PEC ACES
5041501,COM ATAC MOTOCICLETAS MOTONETAS
5041502,COM ATAC PEC ACES MOTOCICL MOTONETAS
5041503,COM VAREJ MOTOCICLETAS MOTONETAS
5041504,COM VAREJ PEC ACES MOTOCICL MOTONETAS
5041505,INTERMED COM PEC ACES MOTOCICL MOTONETAS
5042300,MANUT REP MOTOCICLETAS MOTONETAS
5050400,COM VAREJ COMBUSTIVEIS LUBRIF VEIC AUTOM
5050401,COM VAREJ ATAC COMBUSTIVEIS ORIGEM VEGET
5111000,INTERMED COM MAT PRIMAS AGRIC ANIMAIS
5112800,INTERMED COM COMB MINER METAIS PROD QUIM
5113600,INTERM COM MADEIRA MAT CONSTR FERRAGENS
5114100,COM ATAC FIOS TEXTEIS TECIDOS ARTEF TEC
5114101,COMERCIO VAREJISTA TECIDOS E ARTEFATOS
5114103,COMERCIO VAREJISTA FIOS FUSIVEIS
5114105,COMERCIO VAREJ CONFECCOES EM GERAL
5114400,INTERM COM MAQ EQ INDS EMBARC AERONAVES
5115200,INTERMEDIARIOS COM MOVEIS ART USO DOMEST
5116000,INTERM COM TEXTEIS VEST CALC ART COURO
5116001,INTERMEDIACAO COM ARTIGOS TEXTEIS
5117900,INTERM COM PROD ALIM BEBIDAS E FUMO
5118700,INTERMED COM ESPEC PROD N ESPECIF ANTER
5119500,INTERMED COM MERCADORIAS GERAIS N ESPEC
5121700,COM ATAC PROD AGRIC IN NATURA PROD ALIM
5121701,COM ATAC PROD ALIM INDUSTRIALIZ ANIMAIS
5121702,COM ATACADISTA DE ALGODAO
5121703,COM ATACADISTA DE CAFE EM GRAO
5121704,COM ATACADISTA DE SOJA
5121705,COM ATAC FUMO FOLHA N BENEFICIADO
5121706,COM ATACADISTA DE CACAU EM BARRA
5121707,COM ATAC SEMENTES FLORES PLANTAS GRAMAS
5121708,COM ATACADISTA DE SISAL
5121709,COM VAREJISTA CAFE TORRADO MOIDO SOLUVEL
5121710,COM VAREJ BALAS DOCES DROPS
5121799,COM ATAC OUT CEREAIS LEGUMINOSAS BRUTO
5122500,COMERCIO ATACADISTA ANIMAIS VIVOS
5122501,COM ATACADISTA DE BOVINOS
5122502,COM ATACADISTA DE EQUINOS
5122503,COM ATACADISTA DE OVINOS
5122504,COM ATACADISTA DE SUINOS
5122505,COM ATACADISTA OUT ANIMAIS VIVOS
5122506,COM ATAC COUROS PELES CHIFRES OSSOS
5122507,COM ATACADO AQUARIOS GAIOLAS VIVEIROS
5122508,COM VAREJ ORDENHADEIRAS DESNATADEIRAS
5122509,COM VAREJ PEIXES ORNAMENTAIS GAIOLAS
5122510,COM VAREJ TRATORES ARADOS PECAS EM GERAL
5131400,COMERCIO ATACADISTA LEITE PRODUTOS LEITE
5132200,COM ATAC CEREAIS BENEF FARINHAS AMIDOS
5132201,COM ATAC CEREAIS BENEFICIADOS
5132202,COM ATAC FARINHAS AMIDOS FECULAS
5132203,COM ATAC CEREAL LEGUMINOSO BENEF FARINHA
5132204,COM VAREJ CEREAIS BENEF FARINHAS AMIDOS
5133000,COMERCIO ATACADISTA HORTIFRUTIGRANJEIROS
5133001,COM ATAC FRUTAS VERDURAS RAIZES
5133002,COM ATAC AVES VIVAS E OVOS
5133003,COM ATAC COELHOS PEQ ANIMAIS P ALIMENTAC
5133004,AVICULTURA
5133005,COM VAREJISTA CACHORROS GATOS PASSAROS
5133006,COM VAREJISTA PRODUTOS HORTIGRANJEIROS
5133007,COMERCIO ATACADISTA DE FRUTAS
5133008,COM ATAC BATATAS CEBOLAS ALHOS E LEGUMES
5133009,COMERCIO ATACADO PRODUTOS HORTIGRANJEIRO
5133010,COM ATAC DE PASSAROS GATOS CACHORROS
5133011,COM VAREJ E ATAC ANIMAIS DOMESTICOS
5133012,COM VAREJ FRUTAS VERDURAS RAIZES
5133013,COM VAREJ AVES OVOS ANIMAIS VIVOS ALIMEN
5134900,COMERCIO ATACADISTA CARNES PROD DA CARNE
5135700,COM ATAC PESCADOS FRUTOS DO MAR
5136500,COMERCIO ATACADISTA BEBIDAS
5136501,COM ATAC DE AGUA MINERAL
5136502,COM ATAC CERVEJA CHOPE REFRIGERANTE
5136503,COM ATAC BEBIDA ATIV FRACION ACOND ASSOC
5136504,DISTRIBUIDORA DE BEBIDAS EM GERAL
5136505,COMERCIO VAREJISTA DE AGUA MINERAL
5136599,COM ATAC OUTRAS BEBIDAS EM GERAL
5137300,COMERCIO ATACADISTA PRODUTOS DO FUMO
5137301,COM ATAC FUMO BENEFICIADO
5137302,COM VAREJ CIGARROS CIGARRILHAS CHARUTOS
5137303,COM ATAC CIGARROS CIGARRILHAS CHARUTOS
5139000,COM ATAC OUTROS PROD ALIM N ESP ANT
5139001,COM ATAC CAFE TORRADO MOIDO SOLUVEL
5139002,COM ATACADISTA DE ACUCAR
5139003,COM ATAC OLEOS REFINADOS E GORDURAS
5139004,COM ATAC PAES BOLOS BISCOITOS SIMILARES
5139005,COM ATAC MASSA ALIMENTICIAS EM GERAL
5139006,COM ATACADISTA DE SORVETES
5139007,COM ATAC PROD ALIM P ANIMAIS DOMESTICOS
5139008,DISTRIBUIDORA DE GENEROS ALIMENTICIOS
5139009,COM ATAC OUT PROD ALIM N ESP ATIV FRAC
5139010,COM VAREJISTA DE SORVETES
5139011,COM VAREJ MASSA ALIMENTICIAS EM GERAL
5139098,COM ATAC PRODUTOS ALIMENTICIOS NATURAIS
5139099,COM ATAC OUTROS PRODS ALIMENTICIOS
5141100,COMERCIO ATACADISTA FIOS TEXTEIS TECIDOS
5141101,COM ATAC FIOS FIBRAS TEXTEIS
5141102,COMERCIO ATACADISTA TECIDOS
5141103,COM ATAC ARTIGOS CAMA MESA BANHO
5141104,COM ATAC ARTIGOS ARMARINHO
5141105,INDUSTRIA TEXTIL
5142000,COM ATAC ARTIGOS VESTUARIO COMPLEMENTOS
5142001,COM ATAC ART VEST COMPL EXC PROF SEG
5142002,COM ATAC ROUPAS ACES USO PROF SEG TRAB
5142003,COM ATAC BOLSAS MALAS ARTIGOS DE VIAGEM
5142004,COMERCIO VAREJISTA DE CONFECCOES
5142005,COMERCIO VAREJISTA DE ENXOVAL E LINGERIE
5142006,INDUSTRIA E COM DE CONFECCOES EM GERAL
5142007,COM VAREJISTA BARBANTES E SACARIAS
5142008,COM ATACADO ESTOPAS BARBANTES SACARIAS
5142009,COM VAREJ ROUPAS PROFISSIONAL SEGURANCA
5142010,COMERCIO VAREJ ARTIGOS DO VESTUARIO
5142111,COM ATACADO MATERIAL ESPORTIVO
5143800,COMERCIO ATACADISTA DE CALCADOS
5144600,COM ATAC ELETROD EQUIP USO PES DOMESTICO
5144601,COM ATAC MAQ AP EQ ELETR USO PES DOMEST
5144602,COM ATAC APAR ELETRON USO PES DOMESTICO
5144604,COM ATACADO BOBINAS TRANSISTORES VALVULA
5144605,COM ATACADO MATERIAL ELETRICO EM GERAL
5144606,COM ATACADO APARELHOS P PREPARAR CAFE
5144607,COM VAREJ APARELHOS P PREPARAR CAFE
5144608,COM ATAC COMPUTADORES PERIFERICOS
5144609,COM ATACADO MATERIAL ELETRONICO EM GERAL
5145400,COM ATAC PROD FARM MED ORTOP ODONTOLOG
5145401,COM ATAC PROD FARMAC USO HUMANO
5145402,COM ATAC PRODS FARM USO VETERINARIO
5145403,COM ATAC INSTR MAT MED CIRURG HOSPITALAR
5145404,COM ATAC PROTESE ARTIGOS ORTOPEDIA
5145405,COM ATAC PRODUTOS ODONTOLOGICOS
5145406,COM ATACADISTA MATL FOTO CINEMATOGRAFICO
5145407,COM VAREJ PRODUTOS ODONTOLOGICOS
5145408,COM VAREJ INSTR MAT MED CIRUG ODONT HOSP
5145409,COM VAREJ PROD MEDICOS ODONTOLOGICOS
5146200,COM ATAC COSMETICOS PROD PERFUMARIA
5146201,COM ATAC COSMETICOS PRODS PERFUMARIA
5146202,COM ATAC PRODS HIGIENE PESSOAL
5146203,COM ATAC MEDICAMENTOS PRODUTOS HIGIENE
5146205,COM ATAC PROD FARMAC DA FLORA MEDICINAL
5146207,COM ATAC PRODUTOS HIGIENE LIMPEZA
5146208,COM VAREJ PRODUTOS HIGIENE LIMPEZA
5146209,COM VAREJISTA PROD ALIMENTICIOS NATURAIS
5146210,COM ATAC PECAS RELOJOARIAS E JOALHEIROS
5147000,COM ATAC ART ESCRIT PAPELARIA PAPEL
5147001,COM ATAC ARTIGOS ESCRITORIO PAPELARIA
5147002,COM ATAC LIVROS JORNAIS OUT PUBLICACOES
5147003,DISTRIB PAPEIS P GRAFICA E PAPELARIA
5147004,COM ATAC BRINQUEDOS ARTIGOS RECREATIVOS
5147005,COMERCIO VAREJISTA DE PAPEIS EM GERAL
5147006,COM ATACADISTA PROD PROMOCIONAIS BRINDES
5147007,FABRICACAO DE AGENDAS E ALBUNS
5147008,COM VAREJ DE GLOBOS TERRESTES E MAPAS
5147009,COM ATACADISTA TAMBORES E VASILHAMES
5147010,COM VAREJISTA TAMBORES E VASILHAMES
5149700,COM ATAC OUT ART USO PES DOMEST N ESPEC
5149701,COM ATAC PROD HIGIENE CONSERV DOMICILIAR
5149702,COM ATAC BICICLETAS TRICICLOS OUT VEIC
5149703,COM ATACADISTA DE MOVEIS
5149704,COM ATAC ART TAPEC COLCHOARIA PERSIANAS
5149705,COM ATAC LUSTRES LUMINARIAS ABAJURES
5149706,COM ATAC FILMES FITAS DISCOS
5149707,COMERCIO DE FORROS E DIVISORIAS
5149708,COM VAREJISTA E DISTRIBUIDORA DE CDS
5149709,COM ATAC MOVEIS OBJETOS ARTE DECORACAO
5149710,COM VAREJ LUSTRES LUMINARIAS ABAJURES
5149799,COM ATAC OUT ART USO PESSOAL DOMESTICO
5149800,COM ATACADISTA ARTIGOS DE OTICA
5149802,COM ATAC FERRAGEM FERRAM PROD METALURG
5149804,COM ATAC ARTIGOS DE CUTELARIA PROD METAL
5149805,COM VAREJ ATAC MATERIAL ABRASIVOS
5149806,COM VAREJ LIXAS DISCOS DE CORTE ROLOS
5151900,COMERCIO ATACADISTA DE COMBUSTIVEIS
5151901,COM ATAC ALCOOL CARBURANTE GASOLINA
5151902,COM ATAC COMB REALIZ TRANSP RETALHISTA
5151903,COM ATAC GAS LIQUEFEITO PETROLEO GLP
5151904,COM ATAC COMB ORIGEM VEGETAL EXC ALCOOL
5151905,COM ATAC COMB ORIGEM MINERAL EM BRUTO
5151906,COMERCIO ATACADISTA DE LUBRIFICANTES
5151907,POSTOS DE ALCOOL CARBURANTE GASOLINA
5151908,COM ATAC DERIVADOS DO REFINO PETROLEO
5151909,COMERCIO ATACADO LENHA CARVAO VEGETAL
5151910,COM ATAC DERIVADO DO PETROLEO ASFALTOS
5151911,COM VAREJ DERIVADO DO PETROLEO ASFALTOS
5152700,COM ATAC PROD EXTRATIVOS ORIGEM MINERAL
5152704,COM ATAC PRODS ORIGEM VEGETAL N BENEFIC
5152706,COM ATAC RESID ORIGEM VEGETAL ANIMAL
5153205,IMP EXP FERRAMENTA HIDRAUL ELET FERRAG
5153206,IND COM EXP FERRAM DIAMANTADAS GERAL
5153500,COM ATAC MADEIRA MAT CONSTR FERRAG FER
5153501,COM ATAC MADEIRA BRUTO PRODS DERIVADOS
5153502,COM ATAC DE CAL CIMENTO AREIA PEDRAS
5153503,COM ATACADISTA FERRAGENS FERRAMENTAS
5153504,COM ATAC TINTAS VERNIZES SOLVENTES SIMIL
5153505,COM ATAC MAT ELETRICO P CONSTRUCAO
5153506,COM ATACADISTA DE MARMORES E GRANITOS
5153507,COM ATACADISTA MATERIAL HIDRAULICO
5153508,COM ATACADO UNIFORMES LUVAS CAPACETES
5153509,COMERCIO ATACADO PROTETORES AUDITIVOS
5153510,COM VAREJ EQUIP SEGURANCA INDL EMPRESAS
5153511,COM VAREJ TINTAS PINTURA AUTOMOTIVA
5153512,COM VAREJISTA DE ELETRODOMESTICOS
5153599,COM ATAC OUTROS MATS P CONSTRUCAO
5154300,COMERCIO ATACADISTA PRODUTOS QUIMICOS
5154301,COM ATAC DEFENSIVOS AGRIC FERTILIZANTES
5154302,COMERCIO VAREJO DE PRODUTOS QUIMICOS
5154303,FAB PRODUTOS QUIMICOS E DERIVADOS
5154304,COM VAREJ PROD QUIMICOS FARMAC VETERIN
5154305,COM VAREJ PROD QUIMICO USO AGROPEC
5154306,FAB PROD QUIMICOS P AGRICULTURA
5154307,TRATAMENTO TERMICO QUIMICO DE METAIS
5154308,COM VAREJ DEFENSIVOS AGRIC FERTILIZANTES
5154309,COMERCIO VAREJISTA DE PESTICIDAS
5154310,COM ATAC MAQUINAS IMPLEMENTOS AGRICOLAS
5154390,COM VAREJ PROD QUIMICOS N ESPECIFICADO
5154398,COM CORANTES ANILINAS PIGMENTOS PROD AUX
5154399,COM ATAC OUTROS PRODUTOS QUIMICOS
5155101,COM ATAC DE RESIDUOS E SUCATAS METALICAS
5155102,COM ATAC DE RESIDUOS E SUCATAS NAO METAL
5155103,COM ATAC DE RESIDUOS DE PAPEL E PAPELAO
5155104,COM VAREJISTA PAPEL PAPELAO LIVROS
5155105,COM VAREJISTA PAPEL PAPELAO PAPELARIA
5155106,COM VAREJISTA PROD METALURGICO N CLASSIF
5155107,COM VAREJ RESIDUOS E SUCATAS METALICAS
5155109,COM VAREJ DE RESIDUOS DE PAPEL E PAPELAO
5159400,COM ATAC OUT PROD INTERM N AGROP ESPECIF
5159401,COM ATACADISTA DE EMBALAGENS
5159402,ATIV SERV RELACIONADOS AGROPECUARIA
5159403,COM VAREJISTA DE EMBALAGENS
5159404,COM ATAC PRODS QUIMICO USO AGROPECUARIO
5159405,COM ATACADO FIBRAS VEGETAIS BENEFICIADAS
5159406,COM ATAC MATERIAL PINTURA AUTOMOTIVA
5159407,COM VAREJ ARTIGOS PARA FESTAS EM GERAL
5159408,COM ATACADO BORRACHA PLASTICOS ESPUMA
5159409,COM VAREJ MAQ APARELHOS EQUIP AGROPEC
5159498,COM VAREJ ANIMAIS VIVOS P CRIACAO
5159499,COM ATAC OUT INTERM N AGROP ESPEC ANTER
5161600,COM ATAC MAQ APAR EQUIP USO AGROPEC
5161601,CULTURAS VEGETAIS N ESPECIFICADAS
5161606,COM VAREJ ARTIGOS P SILK SCREEN
5161607,COM ATAC ARTIGOS P SILK SCREEN
5161608,PRESTACAO SERVICOS SILK SCREEN
5161609,ESCRIT GERENC ADM EMPRESAS PREST SERVICO
5162400,COM ATAC MAQ EQUIP P COM PECAS ACESSORIO
5163200,COM ATAC MAQ EQUIP P ESCRITORIO
5163201,COM ATAC MAQ EQUIP P ESCRITORIO
5163202,COM ATAC EQUIP INFORMATICA COMUNICACAO
5163203,PRESTACAO DE SERVICOS EM COMUNICACAO
5163205,PRESTACAO DE SERVICOS N ESPECIFICADO
5163206,ASSISTENCIA TECNICA EM CELULARES
5163207,ASSIST TEC ELETRON CONSERTO TELEV RADIO
5163208,ASSISTENCIA TECNICA MAQUINAS EM GERAL
5163209,ASSISTENCIA TECNICA EQUIP INFORMATICA
5164001,COM ATAC MAQ EQUIP PARA COM PARTES E PCS
5164002,COM ATAC MAQ EQUIP ESCRITORIO PARTES PCS
5165901,COM ATAC EQUIP INFORMATICA PARTES PECAS
5165902,COM ATAC EQUIP COMUNICACAO PARTES PCS
5165903,COM VAREJ COMPUTADORES PERIFERICOS
5165904,COM VAREJ RADIOS TELEVISORES SOM
5169100,COM ATAC MAQ AP EQUIP USO INDL TEC PROF
5169101,COM ATAC MAQ APAR EQUIP P USO INDL
5169102,COM ATAC MAQ EQUIP ODONTO MED HOSP LAB
5169103,COM ATACADISTA BOMBAS COMPRESSORES
5169104,COM VAREJO DE BOMBAS E COMPRESSORES
5169105,COM VAREJ MAQ APAR EQUIP P USO INDL
5169106,COM VAREJ EQUIP PARA COZINHA
5169107,INTERMED COM MAQ EQUIP PECAS INDUSTRIAL
5169108,COM VAREJ MAQ APARELHOS E EQUIPAMENTOS
5169109,COM ATAC TRATORES ARADOS CULTIVADORES
5169110,COM ATAC MAQ EQUIP MAT FOTOGRAFICO
5169111,COM VAREJ PECAS PARA TRATORES
5169112,COM VAREJ MAQUINAS EQUIP FOTOGRAFICOS
5169199,COM ATAC MAQ AP EQUIP OUT N ESPECIFICADO
5191801,COM ATAC DE MERCADORIAS EM GERAL
5191802,COM ATAC DE ARTIGOS USO NA AGROPECUARIA
5192600,COM ATAC ESPEC MERCADORIAS N ESPECIFICAD
5192603,COM ATAC MAQ EQUIP MATL FOTOGAFICO
5192605,COM ATAC INSTRUMENTOS MUSICAIS ACESS
5192606,COM MANUTENCAO INSTRUMENTOS DE MEDICAO
5211600,COM VAREJ MERCADORIAS EM GERAL HIPERMERC
5211601,COM VAREJ MATL P JOGO BILHAR E TROFEUS
5211602,COMERCIO VAREJISTA DE TROFEUS
5211603,COMERCIO ATACADISTA DE TROFEUS
5212400,COM VAREJ MERCADORIA GERAL SUPERMERCADOS
5212401,COM VAREJISTA MERCADORIAS EM GERAL
5212402,ADMINISTRAÇÃO TIQUETES REFEIÇÃO
5213200,COM VAREJ MERCAD GERAL SUPERMERCADOS
5213201,MINIMERCADOS
5213202,MERCEARIAS E ARMAZENS VAREJISTAS
5213203,SERVICOS ARMAZENAGEM GERAL FRIGORIFICADO
5213204,COM VAREJ PROD ALIMENTICIOS E BEBIDAS
5213205,COM VAREJ PROD ALIM ANIMAIS
5214000,COM VAREJ MERCADORIA GERAL CONVENIENCIA
5215900,COM VAREJ N ESPEC SEM PREDOMINAN ALIM
5215901,LOJAS DEPARTAMENTOS OU MAGAZINES
5215902,LOJAS VARIEDADES DE PEQUENO PORTE
5215903,LOJAS DUTY FREE AEROPORTOS INTERNAC
5215904,COM MERCADORIA EM GERAL E REDE VAREJO
5221300,COM VAREJ PROD PADARIA LATICINIOS FRIOS
5221301,COM VAREJ PRODS PADARIA E CONFEITARIA
5221302,COM VAREJ LATICINIOS FRIOS CONSERVAS
5221303,PIZZARIA
5221304,COM VAREJ DE PRODUTOS DE LATICINIOS
5221305,COM ATAC DE PRODUTOS DE LATICINIOS
5221307,PADARIAS BOMBONIERIS CONFEITARIAS
5221308,DISTRIBUIDORA PRODUTOS PARA PADARIA
5222100,COM VAREJ DOCES BALAS BOMBONS CONFEITOS
5222101,COM VAREJ LOCACAO MANUT BALOES INFLAVEIS
5222102,COMERCIO E LOCACAO MAQUINAS COPIADORA
5222103,COM VAREJISTA DE PRODUTOS RECICLAVEIS
5222104,REPRESENTAÇÃO COMERCIAL EM GERAL
5223000,COMERCIO VAREJISTA CARNES ACOUGUES
5224800,COMERCIO VAREJISTA DE BEBIDAS
5229900,COM VAREJ OUT PROD ALIM PROD FUMO
5229901,TABACARIA
5229902,COM VAREJISTA DE HORTIFRUTIGRANJEIROS
5229903,PEIXARIA
5229904,COM VAREJISTA EQUIPAMENTOS MECANICOS
5229905,COM VAREJISTA ARTIGOS N ESPECIFICADO
5229906,COM ATACADISTA ARTIGOS N ESPECIFICADO
5229907,COM VAREJISTA ARTIGOS DE PLASTICOS
5229908,COM VAREJISTA DE COLCHOES TRAVESSEIROS
5229909,COM VAREJ MERC PROD ALIM EXCL LJ CONVEN
5229910,COM VAREJISTA PRODUTOS N ESPECIFICADO
5229911,COMERCIO VAREJISTA
5229998,COM VAREJ GEN ALIM DISTRIB CESTA BASICA
5229999,COM VAREJ OUT PROD ALIM N ESPEC ANTERIOR
5231000,COM VAREJ DE TECIDOS E ARTIGOS ARMARINHO
5231001,COM VAREJISTA DE TECIDOS
5231002,COM VAREJISTA ARTIGOS DE ARMARINHO
5231003,COM VAREJ ART CAMA MESA E BANHO
5231004,BAZARES E ARMARINHOS
5231005,COMERCIO VAREJISTA TECIDOS REDES TOLDOS
5231006,COM VAREJISTA DE MARMORES E GRANITOS
5231007,COMERCIO VAREJISTA TAPETES E PASSADEIRAS
5231008,COMERCIO VAREJISTA DE PERSINAS
5231009,COM VAREJ FANTASIAS MASCARAS ART FESTAS
5231010,BOUTIQUES MODAS EM GERAL
5232900,COM VAREJ ARTIGOS VESTUARIO E COMPLEMENT
5233700,COM VAREJ CALCADOS ARTIGOS COURO VIAGEM
5233701,COMERCIO VAREJISTA DE CALCADOS
5233702,COM VAREJ ARTIGOS DE COURO VIAGEM
5233703,COM VAREJISTA ARTEFATOS DE COURO
5233704,COM ATACADISTA DE ARTEFATOS DE COURO
5233705,COM ATAC VAREJ DE ARTEFATOS DE COURO
5233706,COM VAREJ DE CORREIAS COUROS E PELES
5233707,COM ATACADISTA DE ARTESANATO DE COURO
5233708,COM VAREJ DE ARTESANATO DE COURO
5241800,COM VAREJ PROD FARM ART MED ORTOP PERF
5241801,COM VAREJ PRODS FARM ALOPATICOS
5241802,COM VAREJ PRODS FARM HOMEOPATICOS
5241803,FARMACIAS DE MANIPULACAO
5241804,COM VAREJ ART PERF COSM HIG PESSOAL
5241805,COM VAREJ ARTIGOS MEDICOS ORTOPEDICOS
5241806,COM VAREJ MEDIC OUTROS PRODS VETERINARIO
5241807,FARMACIA DROGARIA FLORAS MEDICINAIS
5241808,COM VAREJ PROD FARMACEUTICOS ART MEDICOS
5241809,COM VAREJ PRODS PERFUMARIA E COSMETICOS
5241810,COM VAREJ DE PRODS MEDICOS HOSPITALARES
5242600,COM VAREJ MAQ APAR USO DOM PESSOAL DISCO
5242601,COM VAREJ MAQ APAR USO DOMESTICO PESSOAL
5242602,COM VAREJ ART FOTOGRAF CINEMATOGRAFICOS
5242603,COM VAREJ INSTR MUSICAIS ACESSORIOS
5242604,COM VAREJ DISCOS E FITAS MAGNETICAS
5242605,COM VAREJ MAQUINAS APARELHOS ESCRITORIOS
5242606,COM VAREJISTA PRODS ELETROELETRONICOS
5242607,COM VAREJISTA ARTIGOS RELIGIOSOS
5242608,COM VAREJ PRODS AGRICOLAS E PECUARIA
5242609,REVELAÇÃO DE FILMES
5243400,COM VAREJ MOV ART ILUM ART RESIDENCIA
5243401,COM VAREJISTA DE MOVEIS
5243402,COM VAREJ ARTIGOS DE COLCHOARIA
5243403,COM VAREJ ART TAPEC COLCHOARIA PERSIANAS
5243404,COM VAREJ ARTIGOS ILUMINACAO
5243405,COM VAREJO BORRACHA PLASTICO ESPUMA
5243406,COM VAREJISTA DE MANGUEIRAS CONEXOES
5243407,COM VAREJISTA ARTEFATOS DE CERAMICA
5243408,COM VAREJ RESINAS PRODS REVESTIMENTOS
5243409,COM VAREJ ARTIGOS BORRACHA EM GERAL
5243411,COM ATAC ARTIGOS BORRACHA EM GERAL
5243499,COM VAREJ OUT ART UTILIDADE DOMESTICA
5244200,COM VAREJ CONSTR FERRAG FERRAM MANUAIS
5244201,COM VAREJ FERRAG FERRAM PROD METALURGICO
5244202,COM VAREJ VIDROS ESPELHOS VITRAIS MOLDUR
5244203,COM VAREJ MATERIAL PARA PINTURA
5244204,COM VAREJ MADEIRA E SEUS ARTEFATOS
5244205,COM VAREJ MATS ELETRICOS P CONSTRUCAO
5244206,COM VAREJISTA DE FERRAGENS E FERRAMENTAS
5244207,COM DE AREIA CAL PEDRA BRITADA TIJOLOS
5244208,COM VAREJ MATERIAIS CONSTRUCAO EM GERAL
5244209,COM VAREJISTA DE MATERIAL HIDRAULICO
5244210,COM VAREJ ACESSORIOS SEGURANCA E ALARMES
5244211,COM VAREJ EQUIPAMENTOS DE SEGURANCA
5244212,COM ATACADO MATERIAL ELETRICO ELETRONICO
5244213,COM VAREJISTA VALVULAS TUBOS ELETRONICOS
5244214,COM VAREJ MATERIAL ELETRICO ELETRONICO
5244215,COM VAREJ UNIFORMES LUVAS CAPACETES
5244216,COM VAREJISTA DE MATERIAL ELETRONICO
5244217,COM ATACADISTA DE MATERIAL ELETRONICO
5244218,COM VAREJISTA DE MATERIAIS ELETRICOS
5244219,COM ATACADISTA DE TUBOS FLEXIVEIS
5244299,COM VAREJ MATS CONSTRUCAO EM GERAL
5244300,COM VAREJISTA DE CONCRETO ARTEF CIMENTO
5244301,COM ATACADISTA CONCRETO ARTEF CIMENTO
5245000,COM VAREJ EQUIP MAT ESCRIT INFORMATICA
