idprojeto,idempresa,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,flativo
20,28044,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:04,gladson.lima,S
20,28045,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:04,gladson.lima,S
21,18084,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18087,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18088,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18089,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18090,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18091,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
21,18259,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,3106,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,3110,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,3116,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,3117,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,23144,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,23145,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
22,27552,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,3057,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,3058,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,3060,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,3063,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,11102,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,11107,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,12520,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,28502,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
23,37036,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:10:29,gladson.lima,S
23,37052,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:10:29,gladson.lima,S
23,40407,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:11:30,gladson.lima,S
24,5654,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,6385,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,6387,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,6389,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,6830,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,6962,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,24753,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
24,28890,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:06,gladson.lima,S
25,6801,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,6804,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,6807,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,6811,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,11173,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,23528,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,23960,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,24455,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,27485,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
25,30400,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:10,gladson.lima,S
25,33258,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:43,gladson.lima,S
25,38227,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26001,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26008,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26011,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26013,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26017,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26024,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26025,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
26,26026,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
