idprojeto,nuacao,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2037,1,2023-08-31,fp,2022-11-29 14:50:15,rcarrijo,2022-11-29 14:50:15,rcarrijo
2037,1,2023-12-31,fp,2022-11-29 14:49:04,rcarrijo,2022-11-29 14:49:04,rcarrijo
2037,2,2023-01-02,np,2022-11-29 14:54:28,rcarrijo,2022-11-29 14:54:28,rcarrijo
2037,2,2023-03-01,di,2022-11-07 10:15:22,gabriel.g,2022-11-07 10:15:22,gabriel.g
2037,2,2023-05-31,fp,2022-11-29 14:54:28,rcarrijo,2022-11-29 14:54:28,rcarrijo
2037,3,2023-05-01,di,2022-11-07 10:18:29,gabriel.g,2022-11-07 10:18:29,gabriel.g
2037,3,2023-08-31,fp,2022-11-29 14:56:54,rcarrijo,2022-11-29 14:56:54,rcarrijo
2037,4,2023-01-01,di,2022-11-07 10:20:55,gabriel.g,2022-11-07 10:20:55,gabriel.g
2037,4,2023-01-02,np,2022-11-29 14:58:52,rcarrijo,2022-11-29 14:58:52,rcarrijo
2038,1,2023-01-01,di,2022-11-25 09:23:19,gabriel.g,2022-11-25 09:23:19,gabriel.g
2038,1,2023-02-01,np,2023-01-05 16:44:59,gabriel.g,2023-01-05 16:44:59,gabriel.g
2038,1,2023-06-30,fp,2023-01-05 16:44:59,gabriel.g,2023-01-05 16:44:59,gabriel.g
2038,2,2023-02-01,di,2022-11-25 09:28:09,gabriel.g,2022-11-25 09:28:09,gabriel.g
2038,2,2023-03-01,np,2023-01-05 16:45:29,gabriel.g,2023-01-05 16:45:29,gabriel.g
2038,2,2024-01-15,fp,2023-01-05 16:45:29,gabriel.g,2023-01-05 16:45:29,gabriel.g
2038,3,2023-03-01,di,2022-11-25 09:31:54,gabriel.g,2022-11-25 09:31:54,gabriel.g
2038,3,2023-04-01,np,2023-01-05 16:45:56,gabriel.g,2023-01-05 16:45:56,gabriel.g
2038,3,2023-09-30,fp,2023-01-05 16:45:56,gabriel.g,2023-01-05 16:45:56,gabriel.g
2038,4,2023-02-01,di,2022-11-25 09:35:58,gabriel.g,2022-11-25 09:35:58,gabriel.g
2038,4,2023-03-01,np,2023-01-05 16:46:25,gabriel.g,2023-01-05 16:46:25,gabriel.g
2038,4,2023-07-31,fp,2023-01-05 16:46:25,gabriel.g,2023-01-05 16:46:25,gabriel.g
2038,4,2023-08-31,fp,2023-01-05 16:47:10,gabriel.g,2023-01-05 16:47:10,gabriel.g
2038,5,2023-04-01,di,2022-11-25 09:40:09,gabriel.g,2022-11-25 09:40:09,gabriel.g
2038,5,2023-05-01,np,2023-01-05 16:48:49,gabriel.g,2023-01-05 16:48:49,gabriel.g
2038,5,2023-11-30,fp,2023-01-05 16:48:49,gabriel.g,2023-01-05 16:48:49,gabriel.g
2038,6,2023-05-01,di,2022-11-25 09:43:27,gabriel.g,2022-11-25 09:43:27,gabriel.g
2038,6,2023-06-01,np,2023-01-05 16:49:22,gabriel.g,2023-01-05 16:49:22,gabriel.g
2038,6,2023-10-31,fp,2023-01-05 16:49:22,gabriel.g,2023-01-05 16:49:22,gabriel.g
2038,7,2023-08-01,np,2023-01-05 16:50:45,gabriel.g,2023-01-05 16:50:45,gabriel.g
2038,7,2023-09-01,di,2022-11-25 09:54:34,gabriel.g,2022-11-25 09:54:34,gabriel.g
2038,7,2023-10-31,fp,2023-01-05 16:50:45,gabriel.g,2023-01-05 16:50:45,gabriel.g
2038,8,2023-01-01,di,2022-11-25 10:07:18,gabriel.g,2022-11-25 10:07:18,gabriel.g
2038,8,2023-02-01,np,2023-01-05 16:51:26,gabriel.g,2023-01-05 16:51:26,gabriel.g
2038,8,2024-01-31,fp,2023-01-05 16:51:26,gabriel.g,2023-01-05 16:51:26,gabriel.g
2039,1,2022-11-01,di,2022-11-25 10:37:39,gabriel.g,2022-11-25 10:37:39,gabriel.g
2039,1,2023-02-01,np,2023-01-05 16:27:45,gabriel.g,2023-01-05 16:27:45,gabriel.g
2039,1,2023-10-31,fp,2023-01-05 16:28:00,gabriel.g,2023-01-05 16:28:00,gabriel.g
2039,1,2023-11-30,fp,2023-01-05 16:27:45,gabriel.g,2023-01-05 16:27:45,gabriel.g
2039,2,2023-03-01,np,2023-01-05 16:29:18,gabriel.g,2023-01-05 16:29:18,gabriel.g
2039,2,2023-04-01,di,2022-11-25 10:43:39,gabriel.g,2022-11-25 10:43:39,gabriel.g
2039,2,2023-05-31,fp,2023-01-05 16:29:18,gabriel.g,2023-01-05 16:29:18,gabriel.g
2039,3,2023-02-01,di,2022-11-25 11:10:48,gabriel.g,2022-11-25 11:10:48,gabriel.g
2039,3,2023-05-01,np,2023-01-05 16:29:58,gabriel.g,2023-01-05 16:29:58,gabriel.g
2039,3,2023-10-31,fp,2023-01-05 16:29:58,gabriel.g,2023-01-05 16:29:58,gabriel.g
2039,4,2023-04-01,di,2022-11-25 12:07:05,gabriel.g,2022-11-25 12:07:05,gabriel.g
2039,4,2023-07-01,np,2023-01-05 16:30:35,gabriel.g,2023-01-05 16:30:35,gabriel.g
2039,4,2023-12-31,fp,2023-01-05 16:30:35,gabriel.g,2023-01-05 16:30:35,gabriel.g
2039,5,2023-04-01,di,2022-11-25 12:08:40,gabriel.g,2022-11-25 12:08:40,gabriel.g
2039,5,2023-07-01,np,2023-01-05 16:31:09,gabriel.g,2023-01-05 16:31:09,gabriel.g
2039,5,2023-10-31,fp,2023-01-05 16:31:09,gabriel.g,2023-01-05 16:31:09,gabriel.g
2039,6,2022-10-01,di,2022-11-25 12:10:13,gabriel.g,2022-11-25 12:10:13,gabriel.g
2039,6,2023-02-01,np,2023-01-05 16:31:46,gabriel.g,2023-01-05 16:31:46,gabriel.g
2039,6,2024-01-15,fp,2023-01-05 16:31:46,gabriel.g,2023-01-05 16:31:46,gabriel.g
2039,7,2023-03-01,di,2022-11-25 12:11:04,gabriel.g,2022-11-25 12:11:04,gabriel.g
2039,7,2023-06-01,np,2023-01-05 16:32:15,gabriel.g,2023-01-05 16:32:15,gabriel.g
2039,7,2023-10-31,fp,2023-01-05 16:32:15,gabriel.g,2023-01-05 16:32:15,gabriel.g
2039,8,2023-01-01,di,2022-11-25 12:11:58,gabriel.g,2022-11-25 12:11:58,gabriel.g
2039,8,2023-04-01,np,2023-01-05 16:32:44,gabriel.g,2023-01-05 16:32:44,gabriel.g
2039,8,2023-10-31,fp,2023-01-05 16:32:44,gabriel.g,2023-01-05 16:32:44,gabriel.g
2039,9,2022-09-01,di,2022-11-25 12:12:51,gabriel.g,2022-11-25 12:12:51,gabriel.g
2039,9,2023-02-01,np,2023-01-05 16:33:23,gabriel.g,2023-01-05 16:33:23,gabriel.g
2039,9,2024-01-31,fp,2023-01-05 16:33:23,gabriel.g,2023-01-05 16:33:23,gabriel.g
2040,1,2023-09-01,np,2023-01-05 15:23:42,gabriel.g,2023-01-05 15:23:42,gabriel.g
2040,1,2023-10-01,di,2022-11-25 15:12:46,gabriel.g,2022-11-25 15:12:46,gabriel.g
2040,1,2023-12-31,fp,2023-01-05 15:23:42,gabriel.g,2023-01-05 15:23:42,gabriel.g
2040,2,2023-03-01,np,2023-01-05 14:27:41,gabriel.g,2023-01-05 14:27:41,gabriel.g
2040,2,2023-04-01,di,2022-11-25 15:15:05,gabriel.g,2022-11-25 15:15:05,gabriel.g
2040,2,2023-05-31,fp,2023-01-05 14:27:41,gabriel.g,2023-01-05 14:27:41,gabriel.g
2040,3,2023-02-01,di,2022-11-25 15:17:47,gabriel.g,2022-11-25 15:17:47,gabriel.g
2040,3,2023-05-01,np,2023-01-05 14:47:54,gabriel.g,2023-01-05 14:47:54,gabriel.g
2040,3,2023-10-31,fp,2023-01-05 14:47:54,gabriel.g,2023-01-05 14:47:54,gabriel.g
2040,4,2023-03-01,di,2022-11-25 15:20:31,gabriel.g,2022-11-25 15:20:31,gabriel.g
2040,4,2023-06-01,np,2023-01-05 14:48:42,gabriel.g,2023-01-05 14:48:42,gabriel.g
2040,4,2023-11-30,fp,2023-01-05 14:48:42,gabriel.g,2023-01-05 14:48:42,gabriel.g
2040,5,2023-01-01,di,2022-11-25 15:22:42,gabriel.g,2022-11-25 15:22:42,gabriel.g
2040,5,2023-02-01,np,2023-01-05 14:25:54,gabriel.g,2023-01-05 14:25:54,gabriel.g
2040,5,2023-04-01,np,2023-01-05 14:49:20,gabriel.g,2023-01-05 14:49:20,gabriel.g
2040,5,2023-05-31,fp,2023-01-05 14:25:54,gabriel.g,2023-01-05 14:25:54,gabriel.g
2040,5,2023-09-30,fp,2023-01-05 14:49:20,gabriel.g,2023-01-05 14:49:20,gabriel.g
2040,6,2022-11-01,di,2022-11-25 15:24:34,gabriel.g,2022-11-25 15:24:34,gabriel.g
2040,6,2023-02-01,np,2023-01-05 14:32:14,gabriel.g,2023-01-05 14:32:14,gabriel.g
2040,6,2023-05-31,fp,2023-01-05 14:32:14,gabriel.g,2023-01-05 14:32:14,gabriel.g
2040,6,2023-07-31,fp,2023-01-05 14:50:13,gabriel.g,2023-01-05 14:50:13,gabriel.g
2040,7,2022-11-01,di,2022-11-25 15:27:51,gabriel.g,2022-11-25 15:27:51,gabriel.g
2040,7,2023-02-01,np,2023-01-05 14:51:05,gabriel.g,2023-01-05 14:51:05,gabriel.g
2040,7,2023-10-31,fp,2023-01-05 14:51:05,gabriel.g,2023-01-05 14:51:05,gabriel.g
2040,8,2022-10-01,di,2022-11-25 15:29:43,gabriel.g,2022-11-25 15:29:43,gabriel.g
