id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
47,3,Resultado Finalístico 1,Elevar o faturamento médio por empresa em 5% até julho de 2014 e mais 10% até julho de 2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
48,1016,Resultado Finalístico 1,Aumentar os postos de trabalho em 5% até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
49,98,Resultado Finalístico 1,"Destinar corretamente 100% dos resíduos, seguindo as exigências da FATMA e FAEMA",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
50,11,Resultado Finalístico 1,"IMPLANTAR EM 100% DAS EMPRESAS
PARTICIPANTES 1 NOVA LINHA DE PRODUTOS (VETERINÁRIO) ATÉ
O FINAL DO PROJETO",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
51,178,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
52,1018,Resultado Finalístico 1,"""Capacitar a equipe de profissionais das empresas do segmento de automecanicas do Núcleo de Manutenção Automotiva em:
• 60% até dezembro de 2018
• 40% até junho de 2019""",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
53,1019,Resultado Finalístico 1,"""Capacitar a equipe de profissionais das empresas do segmento de academias de dança, musculação, e estúdio de pilates do Núcleo Forfitness em:
• 60% até dezembro de 2018
• 40% até junho de 2019 """,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
54,1020,Resultado Finalístico 1,Melhorar a qualidade dos produtos e serviços prestados através das capacitações e consultorias,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
55,1021,Resultado Finalístico 1,Melhorar a qualidade dos serviços prestados através das capacitações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
56,1022,Resultado Finalístico 1,"""Construir e alimentar um portal de Internet com foco em interatividade construção de conhecimento;""",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
57,1187,Resultado Finalístico 1,"""Elevar em 12% o faturamento das empresas participantes até o final do projeto;""",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
58,97,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
59,80,Resultado Finalístico 1,Melhoria de dois processos nas empresas nucleadas participantes do projeto com definição estratégica  até janeiro de 2014,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
60,62,Resultado Finalístico 1,Aumentar o faturamento médio em 20% até o final do projeto;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
61,65,Resultado Finalístico 1,Aumentar em 10% a faturamento das empresas até junho/2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
62,66,Resultado Finalístico 1,Melhorar em pelo menos 2 processos empresariais dentro das empresas participantes até o fim do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
63,1023,Resultado Finalístico 1,Estabelecer 2 roteiros turísticos em Itabira,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
64,1026,Resultado Finalístico 1,Aumentar o faturamento em 25% até dezembro de 2019,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
65,1154,Resultado Finalístico 1,Elevar em 15% faturamento total do grupo de empresas até o final dos projetos dez/2019( linha 47 do quadro de indicador do sigeor),,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
66,36,Resultado Finalístico 1,Aumentar os atendimentos em 15% nas empresas participantes até o fim do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
67,92,Resultado Finalístico 1,"Consolidar 4 novos canais de comunicação do Selo Ótica Legal, sendo 2 em 2014 e mais 2 em 2015.",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
68,60,Resultado Finalístico 1,"Capacitar 100% dos profissionais participantes do projeto, até o final do projeto",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
69,151,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
70,1027,Resultado Finalístico 1,Aumentar o faturamento em 25% até dezembro de 2019,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
71,1029,Resultado Finalístico 1,Aumentar o faturamento em 25% até dezembro de 2019,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
72,55,Resultado Finalístico 1,Aumento da produtividade  em 15% devido a melhoria na genética.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
73,70,Resultado Finalístico 1,Promover a melhoria de pelo menos 2 processos na gestão das propriedades participantes até Fevereiro de 2015.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
74,49,Resultado Finalístico 1,Aumento de faturamento nas empresas em 12% (doze por cento) até o fim do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
75,1031,Resultado Finalístico 1,Criação de 10 novas câmaras de mulheres empreendedoras nas associações nos próximos 2 anos,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
